playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.25","null","null","null","98","null","null","0","null","null","null","0.25","0.25","5.7712","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","13.39","null","null","null","8","null","null","0.535","null","null","null","13.39","13.39","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.024","null","null","null","53","null","null","0.004","null","null","null","0.024","0.024","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.15","null","null","null","12","null","null","0.295","null","null","null","17.15","17.15","4.025","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.26","null","null","null","16","null","null","0.37","null","null","null","16.26","16.26","4.7798","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0.97","null","null","null","79","null","null","0.245","null","null","null","0.97","0.97","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","8.55","null","null","null","31","null","null","0.125","null","null","null","8.55","8.55","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","11.69","null","null","null","14","null","null","0.17","null","null","null","11.69","11.69","2.5615","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","5.84","null","null","null","20","null","null","0.12","null","null","null","5.84","5.84","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","7.44","null","null","null","50","null","null","0.08","null","null","null","7.44","7.44","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.52","null","null","null","48","null","null","0.06","null","null","null","7.52","7.52","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","7.35","null","null","null","52","null","null","0.245","null","null","null","7.35","7.35","4.6107","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","3.85","null","null","null","96","null","null","0.08","null","null","null","3.85","3.85","7.6846","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","8.57","null","null","null","30","null","null","0.035","null","null","null","8.57","8.57","5.202","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","8.77","null","null","null","35","null","null","0.03","null","null","null","8.77","8.77","5.4546","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","5.98","null","null","null","17","null","null","0.07","null","null","null","5.98","5.98","4.4493","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.52","null","null","null","15","null","null","0.14","null","null","null","11.52","11.52","null","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","1.3","null","null","null","28","null","null","0.75","null","null","null","1.3","1.3","3.5409","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.66","null","null","null","17","null","null","0.285","null","null","null","11.66","11.66","4.2535","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","3.12","null","null","null","105","null","null","0.05","null","null","null","3.12","3.12","3.8272","null",
"71435","null","John Phillips","TE","NO","TE","NO","null","1.06","null","null","null","58","null","null","0.155","null","null","null","1.06","1.06","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.32","null","null","null","71","null","null","0.005","null","null","null","0.32","0.32","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","14.13","null","null","null","6","null","null","0.505","null","null","null","14.13","14.13","2.1666","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
