playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.42","null","null","null","95","null","null","0.02","null","null","null","0.42","0.42","5.7669","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","14.24","null","null","null","8","null","null","0.295","null","null","null","14.24","14.24","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.208","null","null","null","40","null","null","0.011","null","null","null","0.208","0.208","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","117","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","117","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.252","null","null","null","8","null","null","0.566","null","null","null","19.252","19.252","4.025","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","14.81","null","null","null","24","null","null","0.393","null","null","null","14.81","14.81","4.7798","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0.47","null","null","null","91","null","null","0.02","null","null","null","0.47","0.47","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","8.69","null","null","null","28","null","null","0.25","null","null","null","8.69","8.69","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","13.52","null","null","null","10","null","null","0.235","null","null","null","13.52","13.52","2.546","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","7.9","null","null","null","12","null","null","0.11","null","null","null","7.9","7.9","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","8.47","null","null","null","44","null","null","0.245","null","null","null","8.47","8.47","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","5.95","null","null","null","67","null","null","0.025","null","null","null","5.95","5.95","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.85","null","null","null","40","null","null","0.16","null","null","null","8.85","8.85","4.6017","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","3.38","null","null","null","96","null","null","0.37","null","null","null","3.38","3.38","7.6854","null",
