playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","14.29","null","null","null","7","null","null","0.745","null","null","null","14.29","14.29","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.894","null","null","null","5","null","null","0.066","null","null","null","18.894","18.894","4.5974","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","14.434","null","null","null","15","null","null","null","null","null","null","14.434","14.434","5.2013","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","13.51","null","null","null","10","null","null","0.225","null","null","null","13.51","13.51","4.5035","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","8","null","null","null","10","null","null","0.15","null","null","null","8","8","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","16.73","null","null","null","5","null","null","1.56","null","null","null","16.73","16.73","3.7494","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","18.87","null","null","null","6","null","null","0.13","null","null","null","18.87","18.87","5.5032","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","7.1","null","null","null","5","null","null","0.6","null","null","null","7.1","7.1","4.0989","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6.6","null","null","null","6","null","null","0.3","null","null","null","6.6","6.6","7.6246","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","5.9","null","null","null","11","null","null","0.1","null","null","null","5.9","5.9","5.6911","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","6.2","null","null","null","8","null","null","0.05","null","null","null","6.2","6.2","5.3499","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","9.8","null","null","null","1","null","null","1.2","null","null","null","9.8","9.8","1.3693","null",
"100011","null","Packers","DST","GB","DST","GB","null","5.8","null","null","null","12","null","null","0","null","null","null","5.8","5.8","5.2362","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","7.8","null","null","null","4","null","null","0.95","null","null","null","7.8","7.8","4.6676","null",
"100021","null","Patriots","DST","NE","DST","NE","null","8.9","null","null","null","2","null","null","0.85","null","null","null","8.9","8.9","3.3028","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","6.2","null","null","null","8","null","null","0.2","null","null","null","6.2","6.2","8.9893","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","6.4","null","null","null","7","null","null","0.2","null","null","null","6.4","6.4","4.2126","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","6.1","null","null","null","10","null","null","0.25","null","null","null","6.1","6.1","5.4637","null",
"100029","null","49ers","DST","SF","DST","SF","null","5.8","null","null","null","12","null","null","null","null","null","null","5.8","5.8","6.2598","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","8.3","null","null","null","3","null","null","0.85","null","null","null","8.3","8.3","2.7341","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","11.64","null","null","null","14","null","null","null","null","null","null","11.64","11.64","7.7315","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","11.65","null","null","null","1","null","null","0.64","null","null","null","11.65","11.65","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","6.58","null","null","null","15","null","null","null","null","null","null","6.58","6.58","4.7049","null",
