playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.3","null","null","null","93","null","null","0.1","null","null","null","0.3","0.3","5.7847","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","8.8","null","null","null","22","null","null","0.6","null","null","null","8.8","8.8","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.24","null","null","null","48","null","null","0.02","null","null","null","0.24","0.24","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","15.72","null","null","null","13","null","null","0.13","null","null","null","15.72","15.72","4.025","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","13.78","null","null","null","21","null","null","0.12","null","null","null","13.78","13.78","4.7798","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","6.4","null","null","null","34","null","null","0.5","null","null","null","6.4","6.4","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","6.6","null","null","null","42","null","null","0.25","null","null","null","6.6","6.6","2.5583","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","3.5","null","null","null","22","null","null","0.1","null","null","null","3.5","3.5","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","11.7","null","null","null","15","null","null","0.05","null","null","null","11.7","11.7","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","3","null","null","null","91","null","null","0.3","null","null","null","3","3","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","11.7","null","null","null","15","null","null","0.4","null","null","null","11.7","11.7","4.6297","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","8.3","null","null","null","35","null","null","0.15","null","null","null","8.3","8.3","7.7369","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"4381","null","Garrett Hartley","K","FA","K","FA","null","0","null","null","null","31","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","6.5","null","null","null","33","null","null","0.15","null","null","null","6.5","6.5","5.2138","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","6.2","null","null","null","44","null","null","0.1","null","null","null","6.2","6.2","5.4827","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","3.8","null","null","null","17","null","null","0.05","null","null","null","3.8","3.8","4.4614","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","5.6","null","null","null","50","null","null","8.8818e-16","null","null","null","5.6","5.6","null","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","1","null","null","null","29","null","null","0.5","null","null","null","1","1","3.5409","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","7.6","null","null","null","26","null","null","0.25","null","null","null","7.6","7.6","4.2623","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","2.3","null","null","null","95","null","null","0","null","null","null","2.3","2.3","3.8377","null",
