playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","13.02","null","null","null","8","null","null","0.63","null","null","null","13.02","13.02","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","-0.09","null","null","null","61","null","null","null","null","null","null","-0.09","-0.09","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.47","null","null","null","51","null","null","0.1","null","null","null","4.47","4.47","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.802","null","null","null","2","null","null","1.182","null","null","null","20.802","20.802","4.025","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0.01","null","null","null","56","null","null","0.024","null","null","null","0.01","0.01","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","13.418","null","null","null","28","null","null","1.418","null","null","null","13.418","13.418","4.7798","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","1.46","null","null","null","81","null","null","0.06","null","null","null","1.46","1.46","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.01","null","null","null","19","null","null","0.725","null","null","null","11.01","11.01","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","16.43","null","null","null","3","null","null","1.06","null","null","null","16.43","16.43","2.5479","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","8.26","null","null","null","11","null","null","0.4","null","null","null","8.26","8.26","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","7.64","null","null","null","54","null","null","0.645","null","null","null","7.64","7.64","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","5","null","null","null","75","null","null","0.32","null","null","null","5","5","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.63","null","null","null","47","null","null","0.135","null","null","null","8.63","8.63","4.6006","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","6.01","null","null","null","66","null","null","0.205","null","null","null","6.01","6.01","7.6796","null",
