playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","1.8","null","null","null","96","null","null","0.15","null","null","null","1.8","1.8","2.9788","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","14.2","null","null","null","10","null","null","1.7764e-15","null","null","null","14.2","14.2","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.28","null","null","null","45","null","null","0","null","null","null","0.28","0.28","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","15.64","null","null","null","6","null","null","0.14","null","null","null","15.64","15.64","2.2487","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","13.96","null","null","null","12","null","null","0.15","null","null","null","13.96","13.96","5.4527","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","6.3","null","null","null","34","null","null","0.1","null","null","null","6.3","6.3","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","12.4","null","null","null","6","null","null","0.05","null","null","null","12.4","12.4","3.4333","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","4.4","null","null","null","19","null","null","0.25","null","null","null","4.4","4.4","4.9785","null",
