playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","2.3","null","null","null","127","null","null","0.13","null","null","null","2.3","2.3","6.5389","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","1.1","null","null","null","81","null","null","0.07","null","null","null","1.1","1.1","4.7286","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","15.38","null","null","null","6","null","null","0.16","null","null","null","15.38","15.38","3.6365","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.056","null","null","null","56","null","null","0","null","null","null","0.056","0.056","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.698","null","null","null","9","null","null","0.116","null","null","null","17.698","17.698","5.6603","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","14.348","null","null","null","26","null","null","0.716","null","null","null","14.348","14.348","3.7695","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.46","null","null","null","21","null","null","0.33","null","null","null","11.46","11.46","4.0265","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","12.59","null","null","null","9","null","null","0.075","null","null","null","12.59","12.59","2.6973","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","6.33","null","null","null","18","null","null","0.205","null","null","null","6.33","6.33","4.881","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","7.59","null","null","null","13","null","null","0.36","null","null","null","7.59","7.59","3.85","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","9.45","null","null","null","37","null","null","0.235","null","null","null","9.45","9.45","4.5903","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","5.84","null","null","null","84","null","null","0.1","null","null","null","5.84","5.84","9.7124","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","9.13","null","null","null","40","null","null","0.095","null","null","null","9.13","9.13","5.5924","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","2.86","null","null","null","117","null","null","0.135","null","null","null","2.86","2.86","1.6952","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","9.08","null","null","null","27","null","null","0.27","null","null","null","9.08","9.08","3.6365","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","10.06","null","null","null","27","null","null","0.14","null","null","null","10.06","10.06","3.6995","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","5.65","null","null","null","24","null","null","0.285","null","null","null","5.65","5.65","3.5327","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.07","null","null","null","22","null","null","0.1","null","null","null","11.07","11.07","2.9757","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","9.76","null","null","null","26","null","null","0.81","null","null","null","9.76","9.76","3.0124","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","2.62","null","null","null","120","null","null","0.055","null","null","null","2.62","2.62","3.8665","null",
"71435","null","John Phillips","TE","NO","TE","NO","null","0.43","null","null","null","73","null","null","0.05","null","null","null","0.43","0.43","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.32","null","null","null","78","null","null","0.01","null","null","null","0.32","0.32","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","15.12","null","null","null","8","null","null","1.465","null","null","null","15.12","15.12","2.9344","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","18.2","null","null","null","6","null","null","0.278","null","null","null","18.2","18.2","4.8499","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","3.63","null","null","null","103","null","null","0.07","null","null","null","3.63","3.63","null","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","10.9","null","null","null","24","null","null","0.33","null","null","null","10.9","10.9","7.2627","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.052","null","null","null","59","null","null","0","null","null","null","0.052","0.052","null","null",
