playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","1.9","null","null","null","98","null","null","0.005","null","null","null","1.9","1.9","2.9599","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","11.55","null","null","null","11","null","null","0.145","null","null","null","11.55","11.55","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.084","null","null","null","50","null","null","0","null","null","null","0.084","0.084","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.23","null","null","null","3","null","null","0.13","null","null","null","17.23","17.23","2.2487","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","15.06","null","null","null","20","null","null","0.425","null","null","null","15.06","15.06","5.4527","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.58","null","null","null","10","null","null","0.06","null","null","null","11.58","11.58","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","12.28","null","null","null","12","null","null","0.255","null","null","null","12.28","12.28","3.4184","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","6.93","null","null","null","16","null","null","0.445","null","null","null","6.93","6.93","4.9785","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","5.56","null","null","null","22","null","null","0.31","null","null","null","5.56","5.56","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.31","null","null","null","54","null","null","0.125","null","null","null","7.31","7.31","null","null",
"1992","null","Craig Stevens","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.76","null","null","null","39","null","null","0.205","null","null","null","8.76","8.76","6.0167","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","6.18","null","null","null","69","null","null","0.065","null","null","null","6.18","6.18","7.4686","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","9.47","null","null","null","21","null","null","0.28","null","null","null","9.47","9.47","4.7984","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","8.81","null","null","null","38","null","null","0.12","null","null","null","8.81","8.81","3.4948","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","10.12","null","null","null","19","null","null","0.54","null","null","null","10.12","10.12","5.7336","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","4.49","null","null","null","83","null","null","0.34","null","null","null","4.49","4.49","6.3988","null",
"71435","null","John Phillips","TE","NO","TE","NO","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"79555","null","Arian Foster","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.72","null","null","null","51","null","null","0.015","null","null","null","0.72","0.72","null","null",
"79625","null","Bear Pascoe","TE","NE","TE","NE","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.084","null","null","null","50","null","null","0","null","null","null","0.084","0.084","null","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","CHI","QB","CHI","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"81831","null","Brian Hartline","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","0.4","null","null","null","61","null","null","0.035","null","null","null","0.4","0.4","4.4095","null",
"89798","null","Antone Smith","RB","TB","RB","TB","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.6","null","null","null","16","null","null","0.25","null","null","null","6.6","6.6","7.7376","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","7.6","null","null","null","11","null","null","0.4","null","null","null","7.6","7.6","4.7179","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.2","null","null","null","12","null","null","0","null","null","null","7.2","7.2","5.365","null",
