Sammie Coates,2,3.77
Martellus Bennett,3,7.93
David Johnson,1,17.94
Ezekiel Elliott,1,15.98
Tevin Coleman,1,9.32
Cameron Meredith,2,3.73
Jordan Howard,1,10.14
Cameron Artis-Payne,1,7.99
Jeremy Kerley,2,4.33
TY Hilton,2,12.74
Marcus Mariota,0,17.94
Brandon LaFell,2,8.05
Adam Thielen,2,8.51
Tyrell Williams,2,6.60
Andrew Hawkins,2,0.51
Charlie Whitehurst,0,0.00
Matt Asiata,1,6.73
Amari Cooper,2,12.40
Philip Rivers,0,18.70
Davante Adams,2,6.17
Theo Riddick,1,13.41
Larry Fitzgerald,2,14.25
Chris Hogan,2,3.33
Brian Hoyer,0,15.24
Greg Olsen,3,12.52
Blaine Gabbert,0,13.24
Ben Roethlisberger,0,21.35
Hunter Henry,3,7.69
Brandon Marshall,2,12.74
Jesse James,3,4.04
Tom Brady,0,22.21
Carlos Hyde,1,11.01
Cordarrelle Patterson,2,3.87
Jamize Olawale,1,2.03
Andre Johnson,2,0.79
Dwayne Allen,3,6.19
Delanie Walker,3,8.87
Crockett Gillmore,3,3.87
Devonta Freeman,1,14.80
Pierre Garcon,2,8.06
Rishard Matthews,2,6.15
Justin Hunter,2,2.62
Cole Beasley,2,9.09
Sam Bradford,0,14.54
Jay Ajayi,1,7.16
Jacquizz Rodgers,1,10.58
Josh Huff,2,3.45
Damien Williams,1,4.05
Antonio Gates,3,4.25
CJ Fiedorowicz,3,3.37
Mike Evans,2,14.09
James White,1,6.70
Derek Carr,0,17.75
Ryan Mathews,1,9.08
Travis Benjamin,2,11.20
Jalen Richard,1,8.01
Charles Clay,3,6.38
Lesean McCoy,1,14.76
Andy Dalton,0,19.72
Todd Gurley,1,13.70
Bobby Rainey,1,6.46
Randall Cobb,2,11.24
Andrew Luck,0,20.04
Mike Gillislee,1,5.26
Michael Crabtree,2,10.84
Kenny Britt,2,7.14
DeAndre Hopkins,2,12.35
Giovani Bernard,1,9.38
Derrick Henry,1,4.40
Brian Quick,2,4.63
Rob Gronkowski,3,11.75
Devontae Booker,1,5.35
Matthew Stafford,0,17.41
DeVante Parker,2,6.97
Tavon Austin,2,6.05
Darren Sproles,1,6.75
James Starks,1,4.71
Gary Barnidge,3,8.60
Marquise Goodwin,2,8.01
Antonio Brown,2,16.85
Zach Miller,3,8.23
Dorial Green-Beckham,2,4.47
Marvin Jones,2,11.75
CJ Uzomah,3,5.18
Terrance Williams,2,8.94
Dak Prescott,0,17.41
Terrance West,1,10.09
DeMarco Murray,1,15.51
Odell Beckham,2,14.56
Chris Thompson,1,5.73
Carson Wentz,0,18.28
Le'Veon Bell,1,18.17
Drew Stanton,0,13.16
Will Tye,3,5.48
Jameis Winston,0,13.84
Ryan Fitzpatrick,0,15.68
Dennis Pitta,3,9.00
Demaryius Thomas,2,14.82
Alfred Morris,1,4.69
Mike Wallace,2,9.06
Anquan Boldin,2,7.85
Cameron Brate,3,6.73
Jason Witten,3,7.78
Nelson Agholor,2,5.39
Jordy Nelson,2,13.90
Tyrod Taylor,0,17.21
Paxton Lynch,0,15.29
Bilal Powell,1,8.51
Jordan Reed,3,9.58
Emmanuel Sanders,2,12.19
Golden Tate,2,7.76
Melvin Gordon,1,16.54
Vincent Jackson,2,6.95
DeAndre Washington,1,8.34
LeGarrette Blount,1,13.27
Alshon Jeffery,2,12.61
Mohamed Sanu,2,5.81
Quincy Enunwa,2,9.78
Kenyan Drake,1,5.29
Eddie Royal,2,9.29
Kirk Cousins,0,15.93
Jamison Crowder,2,8.11
Fozzy Whittaker,1,10.34
Terrelle Pryor,2,9.64
Phillip Dorsett,2,6.92
Brice Butler,2,5.95
Jordan Matthews,2,12.02
Joe Flacco,0,15.90
Javorius Allen,1,5.67
Zach Ertz,3,8.92
Matt Ryan,0,18.39
Richard Rodgers,3,5.38
Ryan Griffin,3,5.89
Duke Johnson,1,7.32
Dion Sims,3,5.79
Eddie Lacy,1,13.47
Frank Gore,1,13.34
Brock Osweiler,0,14.42
Ka'Deem Carey,1,6.68
Kelvin Benjamin,2,13.67
DeSean Jackson,2,9.60
Danny Amendola,2,6.82
Kyle Rudolph,3,7.43
Aaron Rodgers,0,22.24
Robert Woods,2,9.51
Matt Forte,1,11.87
Victor Cruz,2,6.04
Dontrelle Inman,2,6.30
Tajae Sharpe,2,8.46
Torrey Smith,2,6.02
John Brown,2,8.02
Jerick McKinnon,1,10.71
Sterling Shepard,2,8.61
Jacob Tamme,3,7.27
Ted Ginn,2,4.94
Case Keenum,0,14.38
Steve Smith,2,10.99
Julian Edelman,2,12.14
Matt Jones,1,10.80
DeAngelo Williams,1,7.40
CJ Anderson,1,14.69
Will Fuller,2,9.23
AJ Green,2,15.53
Orleans Darkwa,1,9.37
Jarvis Landry,2,13.53
Eli Manning,0,17.49
Michael Floyd,2,9.52
Isaiah Crowell,1,13.20
Cody Kessler,0,14.49
Jeremy Hill,1,11.07
Julio Jones,2,15.31
Derek Anderson,0,16.94
Lamar Miller,1,14.58
Ryan Tannehill,0,16.77
