3989.23,28.8825
133.618
ben roethlisberger,david johnson,doug martin,rob kelley,larry fitzgerald,julian edelman,kelvin benjamin,jack doyle,san francisco,
ben roethlisberger,frank gore,jeremy hill,rob kelley,odell beckham,michael thomas,golden tate,tyler eifert,miami,
colin kaepernick,david johnson,mark ingram,doug martin,brandin cooks,brandon marshall,deandre hopkins,jack doyle,green bay,
ben roethlisberger,david johnson,mark ingram,rob kelley,larry fitzgerald,michael thomas,deandre hopkins,vernon davis,green bay,
colin kaepernick,david johnson,mark ingram,rob kelley,brandon marshall,kelvin benjamin,golden tate,kyle rudolph,green bay,
ben roethlisberger,lesean mccoy,devonta freeman,jay ajayi,brandin cooks,brandon marshall,golden tate,jack doyle,cincinnati,
drew brees,lesean mccoy,matt forte,rob kelley,odell beckham,brandon marshall,golden tate,jack doyle,cincinnati,
colin kaepernick,david johnson,mark ingram,doug martin,brandon marshall,julian edelman,golden tate,kyle rudolph,cincinnati,
drew brees,mark ingram,jeremy hill,doug martin,antonio brown,brandon marshall,golden tate,jack doyle,cincinnati,
tyrod taylor,matt forte,frank gore,rob kelley,odell beckham,brandin cooks,golden tate,tyler eifert,san francisco,
kirk cousins,david johnson,doug martin,rob kelley,brandin cooks,julian edelman,deandre hopkins,tyler eifert,cincinnati,
drew brees,mark ingram,matt forte,rob kelley,odell beckham,kelvin benjamin,golden tate,jack doyle,miami,
ben roethlisberger,david johnson,matt forte,jeremy hill,michael thomas,brandon marshall,kelvin benjamin,jack doyle,green bay,

