9200.02,74.1997
117.251
aaron rodgers,lesean mccoy,matt forte,jeremy hill,julian edelman,golden tate,willie snead,tyler eifert,green bay,
ben roethlisberger,david johnson,frank gore,devontae booker,michael thomas,golden tate,tyreek hill,martellus bennett,chicago,
eli manning,david johnson,matt forte,doug martin,odell beckham,golden tate,pierre garcon,jack doyle,green bay,
aaron rodgers,mark ingram,doug martin,rob kelley,larry fitzgerald,sammy watkins,willie snead,martellus bennett,denver,
drew brees,mark ingram,matt forte,doug martin,brandin cooks,brandon marshall,sammy watkins,tyler eifert,cincinnati,
aaron rodgers,david johnson,rob kelley,devontae booker,brandin cooks,brandon marshall,malcolm mitchell,martellus bennett,green bay,
ben roethlisberger,lesean mccoy,mark ingram,matt forte,jordy nelson,michael crabtree,deandre hopkins,martellus bennett,cincinnati,
aaron rodgers,mark ingram,doug martin,rob kelley,amari cooper,sammy watkins,julian edelman,travis kelce,green bay,
aaron rodgers,lesean mccoy,mark ingram,doug martin,brandon marshall,golden tate,tyreek hill,martellus bennett,denver,
aaron rodgers,lesean mccoy,mark ingram,devontae booker,larry fitzgerald,brandin cooks,deandre hopkins,vernon davis,chicago,
aaron rodgers,doug martin,rob kelley,brandin cooks,michael thomas,brandon marshall,golden tate,martellus bennett,baltimore,
drew brees,lesean mccoy,mark ingram,frank gore,michael crabtree,deandre hopkins,willie snead,martellus bennett,cincinnati,
aaron rodgers,lesean mccoy,frank gore,jeremy hill,jordy nelson,michael crabtree,golden tate,vernon davis,green bay,
derek carr,matt forte,frank gore,jeremy hill,odell beckham,brandin cooks,golden tate,jack doyle,san diego,
colin kaepernick,david johnson,frank gore,jeremy hill,michael crabtree,sammy watkins,julian edelman,vernon davis,cincinnati,
aaron rodgers,mark ingram,jeremy hill,doug martin,larry fitzgerald,julian edelman,deandre hopkins,martellus bennett,denver,
aaron rodgers,matt forte,doug martin,odell beckham,michael thomas,brandon marshall,deandre hopkins,tyler eifert,cincinnati,
ben roethlisberger,david johnson,jeremy hill,doug martin,odell beckham,golden tate,tyreek hill,vernon davis,green bay,
colin kaepernick,mark ingram,matt forte,jeremy hill,larry fitzgerald,brandin cooks,michael thomas,tyler eifert,green bay,
aaron rodgers,lesean mccoy,mark ingram,jeremy hill,brandon marshall,golden tate,deandre hopkins,martellus bennett,miami,
ben roethlisberger,lesean mccoy,devonta freeman,mark ingram,jordy nelson,brandon marshall,golden tate,jack doyle,green bay,
tyrod taylor,frank gore,jeremy hill,odell beckham,larry fitzgerald,michael thomas,brandon marshall,martellus bennett,chicago,
aaron rodgers,devonta freeman,jeremy hill,doug martin,odell beckham,deandre hopkins,jordan matthews,martellus bennett,chicago,
ben roethlisberger,mark ingram,matt forte,rob kelley,mike evans,michael crabtree,michael thomas,vernon davis,miami,
colin kaepernick,devonta freeman,doug martin,odell beckham,larry fitzgerald,brandin cooks,brandon marshall,vernon davis,green bay,
aaron rodgers,matt forte,frank gore,doug martin,odell beckham,sammy watkins,tyreek hill,tyler eifert,cincinnati,
derek carr,david johnson,doug martin,tim hightower,brandin cooks,brandon marshall,sammy watkins,martellus bennett,san francisco,
drew brees,lesean mccoy,rob kelley,devontae booker,larry fitzgerald,brandin cooks,sammy watkins,jack doyle,green bay,
aaron rodgers,jordan howard,jeremy hill,doug martin,brandon marshall,sammy watkins,golden tate,tyler eifert,cincinnati,
colin kaepernick,lesean mccoy,mark ingram,rob kelley,amari cooper,larry fitzgerald,brandon marshall,jack doyle,green bay,
aaron rodgers,david johnson,jeremy hill,kenneth dixon,brandin cooks,julian edelman,jordan matthews,jack doyle,green bay,
jared goff,mark ingram,doug martin,odell beckham,larry fitzgerald,brandin cooks,michael thomas,martellus bennett,new england,
ben roethlisberger,lesean mccoy,frank gore,jeremy hill,amari cooper,sammy watkins,deandre hopkins,jack doyle,san francisco,
aaron rodgers,doug martin,rob kelley,odell beckham,brandon marshall,sammy watkins,golden tate,jack doyle,baltimore,
david johnson,doug martin,rob kelley,odell beckham,larry fitzgerald,golden tate,martellus bennett,green bay,
