9008.81,67.6417
125.792
aaron rodgers,david johnson,matt forte,devontae booker,golden tate,deandre hopkins,jordan matthews,vernon davis,chicago,
brock osweiler,david johnson,mark ingram,matt forte,odell beckham,deandre hopkins,tyreek hill,jack doyle,cincinnati,
brock osweiler,david johnson,jeremy hill,doug martin,brandin cooks,michael thomas,brandon marshall,travis kelce,cincinnati,
ben roethlisberger,mark ingram,frank gore,kenneth dixon,mike evans,brandon marshall,golden tate,tyler eifert,miami,
aaron rodgers,matt forte,jeremy hill,doug martin,mike evans,julian edelman,jordan matthews,martellus bennett,green bay,
ben roethlisberger,devonta freeman,mark ingram,jeremy hill,antonio brown,golden tate,willie snead,vernon davis,cincinnati,
drew brees,lesean mccoy,jeremy hill,doug martin,brandon marshall,golden tate,deandre hopkins,tyler eifert,chicago,
derek carr,devonta freeman,mark ingram,matt forte,odell beckham,golden tate,jordan matthews,martellus bennett,chicago,
drew brees,mark ingram,matt forte,doug martin,larry fitzgerald,sammy watkins,deandre hopkins,martellus bennett,miami,
drew brees,mark ingram,rob kelley,devontae booker,odell beckham,larry fitzgerald,deandre hopkins,vernon davis,miami,
brock osweiler,david johnson,frank gore,doug martin,odell beckham,brandon marshall,deandre hopkins,jack doyle,san francisco,
tyrod taylor,david johnson,doug martin,tim hightower,odell beckham,michael thomas,sammy watkins,vernon davis,green bay,
drew brees,david johnson,rob kelley,devontae booker,brandon marshall,julian edelman,golden tate,vernon davis,chicago,
ben roethlisberger,mark ingram,rob kelley,devontae booker,odell beckham,michael crabtree,willie snead,tyler eifert,miami,
aaron rodgers,jordan howard,mark ingram,devontae booker,michael crabtree,julian edelman,deandre hopkins,martellus bennett,chicago,
kirk cousins,david johnson,doug martin,rob kelley,sammy watkins,julian edelman,jordan matthews,travis kelce,san francisco,
colin kaepernick,lesean mccoy,devonta freeman,jeremy hill,michael crabtree,michael thomas,sammy watkins,jack doyle,san francisco,
aaron rodgers,frank gore,jeremy hill,odell beckham,michael thomas,brandon marshall,jordan matthews,martellus bennett,chicago,
ben roethlisberger,mark ingram,frank gore,rob kelley,brandin cooks,julian edelman,deandre hopkins,travis kelce,denver,
aaron rodgers,david johnson,tim hightower,kenneth dixon,odell beckham,deandre hopkins,tyreek hill,martellus bennett,green bay,
ben roethlisberger,devonta freeman,mark ingram,jeremy hill,larry fitzgerald,brandon marshall,tyreek hill,travis kelce,san francisco,
ben roethlisberger,mark ingram,matt forte,jeremy hill,odell beckham,larry fitzgerald,deandre hopkins,vernon davis,miami,
kirk cousins,david johnson,rob kelley,devontae booker,brandin cooks,golden tate,deandre hopkins,martellus bennett,miami,
brock osweiler,david johnson,devonta freeman,jeremy hill,brandin cooks,michael crabtree,deandre hopkins,jack doyle,cincinnati,
ben roethlisberger,jordan howard,matt forte,jeremy hill,michael thomas,julian edelman,jordan matthews,jack doyle,denver,
matthew stafford,devonta freeman,jeremy hill,rob kelley,odell beckham,brandin cooks,golden tate,green bay,
colin kaepernick,mark ingram,doug martin,rob kelley,odell beckham,brandin cooks,deandre hopkins,travis kelce,san francisco,
drew brees,lesean mccoy,frank gore,devontae booker,larry fitzgerald,julian edelman,deandre hopkins,martellus bennett,cincinnati,
drew brees,lesean mccoy,mark ingram,devontae booker,michael thomas,sammy watkins,deandre hopkins,martellus bennett,chicago,
aaron rodgers,frank gore,doug martin,odell beckham,brandin cooks,sammy watkins,julian edelman,vernon davis,san francisco,
drew brees,mark ingram,doug martin,rob kelley,mike evans,brandon marshall,golden tate,jack doyle,miami,
derek carr,jordan howard,mark ingram,jeremy hill,larry fitzgerald,brandon marshall,golden tate,vernon davis,seattle,
tyrod taylor,david johnson,jeremy hill,doug martin,michael thomas,deandre hopkins,tyreek hill,travis kelce,cincinnati,
ben roethlisberger,mark ingram,matt forte,amari cooper,michael thomas,brandon marshall,willie snead,travis kelce,cincinnati,
drew brees,lesean mccoy,jeremy hill,rob kelley,sammy watkins,julian edelman,jordan matthews,tyler eifert,chicago,
drew brees,lesean mccoy,matt forte,devontae booker,michael crabtree,sammy watkins,deandre hopkins,martellus bennett,chicago,
ben roethlisberger,matt forte,rob kelley,devontae booker,odell beckham,larry fitzgerald,jordan matthews,travis kelce,san francisco,
ben roethlisberger,matt forte,jeremy hill,devontae booker,amari cooper,brandon marshall,sammy watkins,martellus bennett,denver,
drew brees,mark ingram,jeremy hill,rob kelley,amari cooper,doug baldwin,golden tate,vernon davis,green bay,
drew brees,mark ingram,jeremy hill,rob kelley,michael thomas,sammy watkins,golden tate,jack doyle,san diego,
aaron rodgers,matt forte,frank gore,doug martin,amari cooper,michael thomas,golden tate,vernon davis,baltimore,
aaron rodgers,jordan howard,frank gore,rob kelley,michael crabtree,julian edelman,deandre hopkins,jack doyle,miami,
colin kaepernick,david johnson,matt forte,tim hightower,michael thomas,brandon marshall,julian edelman,martellus bennett,san francisco,
aaron rodgers,lesean mccoy,matt forte,tim hightower,odell beckham,sammy watkins,tyreek hill,martellus bennett,chicago,
colin kaepernick,lesean mccoy,mark ingram,tim hightower,larry fitzgerald,brandin cooks,michael crabtree,tyler eifert,cincinnati,
aaron rodgers,lesean mccoy,mark ingram,rob kelley,larry fitzgerald,brandin cooks,deandre hopkins,vernon davis,cincinnati,
aaron rodgers,rob kelley,devontae booker,tim hightower,odell beckham,doug baldwin,brandon marshall,tyler eifert,san francisco,
aaron rodgers,devonta freeman,matt forte,devontae booker,mike evans,brandon marshall,willie snead,vernon davis,cincinnati,
aaron rodgers,devonta freeman,jeremy hill,doug martin,odell beckham,michael thomas,brandon marshall,vernon davis,san francisco,
aaron rodgers,mark ingram,matt forte,odell beckham,michael thomas,brandon marshall,tyler eifert,vernon davis,cincinnati,

