tom brady,37,22.3,0,
drew brees,35,22,0,
aaron rodgers,37,21.9,0,
matthew stafford,33,21.1,0,
cam newton,33,20.8,0,
russell wilson,31,19.5,0,
tyrod taylor,32,19,0,
carson palmer,29,17.8,0,
dak prescott,29,17.6,0,
carson wentz,27,17,0,
philip rivers,28,16.3,0,
ryan fitzpatrick,26,15.6,0,
jay cutler,25,10.6,0,
david johnson,42,19,1,
devonta freeman,26,16.7,1,
ezekiel elliott,38,16.5,1,
matt forte,21,15.7,1,
devontae booker,14,13.4,1,
latavius murray,20,13.4,1,
isaiah crowell,20,12.9,1,
mark ingram,19,12.6,1,
jonathan stewart,18,11.7,1,
ryan mathews,15,9.6,1,
matt asiata,15,9.3,1,
mike evans,38,17.4,2,
julio jones,39,17,2,
amari cooper,32,16.2,2,
larry fitzgerald,34,16,2,
deandre hopkins,29,14.7,2,
marvin jones,24,13.7,2,
jordy nelson,25,13.3,2,
doug baldwin,28,12.9,2,
julian edelman,17,12.9,2,
dez bryant,20,12.7,2,
kelvin benjamin,23,12,2,
jordan matthews,19,11.7,2,
ty montgomery,15,11.4,2,
davante adams,19,10.7,2,
quincy enunwa,17,10.6,2,
tyrell williams,14,9.6,2,
travis benjamin,15,8.3,2,
rob gronkowski,27,13.5,3,
travis kelce,23,10.2,3,
jimmy graham,22,10.2,3,
kyle rudolph,17,9.5,3,
gary barnidge,16,8.9,3,
martellus bennett,17,8.5,3,
jack doyle,16,8.2,3,
eric ebron,16,7.9,3,
jason witten,13,7.6,3,
charles clay,15,6.6,3,
antonio gates,15,6.6,3,
cj fiedorowicz,12,6.5,3,
jacob tamme,12,6.3,3,
virgil green,10,5.3,3,
clive walford,10,5.2,3,
oakland,16,7.1,4,*
denver,18,8.4,4,*
new orleans,10,8.3,4,*
jets,13,9.4,4,
minn,22,11.5,4,
saints,10,6,4,
sd,14,7.5,4,
