1785.14,104.525
blake bortles,david johnson,jeremy hill,allen robinson,brandin cooks,terrelle pryor,tyler eifert,charles clay,green bay,
matt barkley,carlos hyde,isaiah crowell,dion lewis,odell beckham,amari cooper,brandon marshall,greg olsen,san diego,
tom brady,jeremy hill,chris ivory,allen robinson,kelvin benjamin,mike wallace,kenny britt,jared cook,denver,
ryan fitzpatrick,david johnson,rashad jennings,odell beckham,kelvin benjamin,brandon marshall,travis kelce,gary barnidge,jacksonville,
tom brady,david johnson,tevin coleman,rishard matthews,brandon marshall,kenny britt,greg olsen,charles clay,green bay,
aaron rodgers,david johnson,devonta freeman,carlos hyde,mike wallace,steve smith,tyler boyd,gary barnidge,tennessee,
ryan fitzpatrick,david johnson,jeremy hill,rashad jennings,amari cooper,brandon marshall,deandre hopkins,tyler eifert,jacksonville,
blake bortles,demarco murray,thomas rawls,doug martin,allen robinson,brandin cooks,devante parker,hunter henry,new orleans,
tom brady,devonta freeman,thomas rawls,tevin coleman,terrelle pryor,brandon marshall,tyler boyd,greg olsen,denver,
tom brady,jeremy hill,todd gurley,chris ivory,odell beckham,kelvin benjamin,deandre hopkins,charles clay,san diego,
matt ryan,melvin gordon,carlos hyde,tevin coleman,amari cooper,terrelle pryor,steve smith,jared cook,new orleans,
matt ryan,melvin gordon,demarco murray,james starks,amari cooper,tyler boyd,devante parker,hunter henry,jacksonville,
cam newton,devonta freeman,todd gurley,rashad jennings,amari cooper,allen robinson,deandre hopkins,jared cook,denver,
cam newton,devonta freeman,jeremy hill,isaiah crowell,odell beckham,rishard matthews,mike wallace,cj fiedorowicz,cincinnati,
carson wentz,david johnson,rashad jennings,terrelle pryor,brandon marshall,kenny britt,tyler boyd,greg olsen,tennessee,
tom brady,demarco murray,jeremy hill,brandin cooks,mike wallace,steve smith,greg olsen,jared cook,green bay,
colin kaepernick,rashad jennings,isaiah crowell,terrance west,amari cooper,brandin cooks,steve smith,tyler eifert,new orleans,
cam newton,david johnson,devonta freeman,dion lewis,allen robinson,deandre hopkins,tyler boyd,travis kelce,new orleans,
tom brady,david johnson,rashad jennings,devontae booker,rishard matthews,kenny britt,tyler boyd,hunter henry,green bay,
matt ryan,devonta freeman,carlos hyde,brandon marshall,deandre hopkins,kenny britt,steve smith,greg olsen,denver,
marcus mariota,david johnson,jeremy hill,amari cooper,allen robinson,brandon marshall,travis kelce,jared cook,jacksonville,
blake bortles,david johnson,devonta freeman,amari cooper,brandon marshall,steve smith,devante parker,tyler eifert,cincinnati,
aaron rodgers,doug martin,tevin coleman,dion lewis,julio jones,allen robinson,steve smith,cj fiedorowicz,denver,
colin kaepernick,david johnson,carlos hyde,james starks,kelvin benjamin,brandon marshall,tyler boyd,tyler eifert,denver,
colin kaepernick,david johnson,james starks,kelvin benjamin,brandon marshall,tyler boyd,tyler eifert,travis kelce,denver,
tom brady,devonta freeman,jeremy hill,rashad jennings,allen robinson,brandin cooks,kenny britt,hunter henry,green bay,
ryan fitzpatrick,david johnson,rashad jennings,thomas rawls,amari cooper,rishard matthews,kenny britt,charles clay,tennessee,
carson wentz,david johnson,jeremy hill,doug martin,amari cooper,allen robinson,terrelle pryor,charles clay,cincinnati,
tyrod taylor,david johnson,doug martin,tevin coleman,terrelle pryor,deandre hopkins,mike wallace,gary barnidge,denver,
marcus mariota,demarco murray,thomas rawls,amari cooper,allen robinson,tyler boyd,greg olsen,gary barnidge,cincinnati,
matt ryan,doug martin,devontae booker,dion lewis,amari cooper,jordy nelson,kelvin benjamin,tyler eifert,san diego,
ryan fitzpatrick,melvin gordon,rashad jennings,thomas rawls,amari cooper,brandin cooks,steve smith,charles clay,new orleans,
carson wentz,carlos hyde,chris ivory,odell beckham,amari cooper,rishard matthews,deandre hopkins,tyler eifert,green bay,
colin kaepernick,david johnson,demarco murray,tevin coleman,brandon marshall,mike wallace,kenny britt,jared cook,san diego,
aaron rodgers,devonta freeman,carlos hyde,tevin coleman,julio jones,amari cooper,mike wallace,gary barnidge,green bay,
cam newton,david johnson,jeremy hill,todd gurley,brandon marshall,mike wallace,devante parker,greg olsen,green bay,
aaron rodgers,melvin gordon,jeremy hill,rashad jennings,rishard matthews,mike wallace,devante parker,gary barnidge,san diego,
blake bortles,david johnson,demarco murray,allen robinson,rishard matthews,brandon marshall,gary barnidge,jared cook,san diego,
ryan fitzpatrick,david johnson,jeremy hill,todd gurley,julio jones,mike wallace,devante parker,charles clay,san diego,
aaron rodgers,david johnson,devonta freeman,devontae booker,kelvin benjamin,deandre hopkins,steve smith,charles clay,jacksonville,
carson wentz,doug martin,isaiah crowell,tevin coleman,julio jones,amari cooper,brandon marshall,greg olsen,tennessee,
blake bortles,devonta freeman,isaiah crowell,james starks,amari cooper,kelvin benjamin,steve smith,greg olsen,green bay,
matt ryan,devonta freeman,carlos hyde,tevin coleman,brandin cooks,kelvin benjamin,mike wallace,gary barnidge,cincinnati,
cam newton,david johnson,jeremy hill,julio jones,brandon marshall,kenny britt,travis kelce,gary barnidge,green bay,
tyrod taylor,david johnson,rashad jennings,chris ivory,allen robinson,kelvin benjamin,brandon marshall,travis kelce,new orleans,
ryan fitzpatrick,david johnson,devonta freeman,jeremy hill,amari cooper,brandon marshall,steve smith,tyler eifert,tennessee,
marcus mariota,david johnson,devonta freeman,tevin coleman,rishard matthews,brandon marshall,mike wallace,hunter henry,san diego,
carson wentz,demarco murray,carlos hyde,tevin coleman,julio jones,allen robinson,kelvin benjamin,travis kelce,green bay,
matt barkley,david johnson,terrance west,amari cooper,terrelle pryor,kelvin benjamin,greg olsen,cj fiedorowicz,green bay,
cam newton,todd gurley,rashad jennings,thomas rawls,julio jones,rishard matthews,brandon marshall,jared cook,denver,

1769.77,102.234
tom brady,jeremy hill,thomas rawls,tevin coleman,amari cooper,allen robinson,steve smith,greg olsen,cincinnati,
matt ryan,jeremy hill,carlos hyde,isaiah crowell,amari cooper,kelvin benjamin,rishard matthews,tyler eifert,tennessee,
tyrod taylor,devonta freeman,jeremy hill,todd gurley,rishard matthews,deandre hopkins,steve smith,travis kelce,san diego,
cam newton,david johnson,jeremy hill,chris ivory,allen robinson,mike wallace,tyler boyd,tyler eifert,denver,
marcus mariota,jeremy hill,james starks,julio jones,kelvin benjamin,brandon marshall,greg olsen,tyler eifert,san diego,
matt ryan,devontae booker,tevin coleman,julio jones,kelvin benjamin,brandon marshall,deandre hopkins,tyler eifert,san diego,
blake bortles,david johnson,rashad jennings,tevin coleman,amari cooper,kelvin benjamin,rishard matthews,travis kelce,cincinnati,
matt ryan,david johnson,carlos hyde,devontae booker,amari cooper,mike wallace,tyler boyd,gary barnidge,tennessee,
aaron rodgers,melvin gordon,jeremy hill,isaiah crowell,brandon marshall,deandre hopkins,tyler boyd,gary barnidge,san diego,
tom brady,demarco murray,tevin coleman,brandon marshall,mike wallace,devante parker,greg olsen,tyler eifert,denver,
marcus mariota,todd gurley,isaiah crowell,james starks,odell beckham,rishard matthews,brandon marshall,gary barnidge,cincinnati,
blake bortles,david johnson,carlos hyde,devontae booker,brandin cooks,terrelle pryor,steve smith,charles clay,new orleans,
carson wentz,melvin gordon,devonta freeman,rashad jennings,amari cooper,brandon marshall,deandre hopkins,tyler eifert,new orleans,
tyrod taylor,david johnson,jeremy hill,thomas rawls,rishard matthews,deandre hopkins,tyler boyd,cj fiedorowicz,san diego,
matt ryan,david johnson,jeremy hill,chris ivory,allen robinson,terrelle pryor,kenny britt,charles clay,new orleans,
tom brady,thomas rawls,isaiah crowell,devontae booker,odell beckham,rishard matthews,mike wallace,gary barnidge,green bay,
aaron rodgers,demarco murray,tevin coleman,terrance west,brandon marshall,mike wallace,kenny britt,greg olsen,tennessee,
tyrod taylor,david johnson,thomas rawls,terrance west,amari cooper,kelvin benjamin,mike wallace,cj fiedorowicz,green bay,
cam newton,devonta freeman,chris ivory,odell beckham,allen robinson,jordy nelson,gary barnidge,charles clay,jacksonville,
blake bortles,david johnson,carlos hyde,tevin coleman,amari cooper,allen robinson,rishard matthews,gary barnidge,cincinnati,
cam newton,melvin gordon,devontae booker,james starks,brandin cooks,rishard matthews,tyler boyd,jared cook,denver,
tom brady,david johnson,carlos hyde,kelvin benjamin,deandre hopkins,steve smith,cj fiedorowicz,jared cook,tennessee,
blake bortles,david johnson,devonta freeman,tevin coleman,odell beckham,brandon marshall,deandre hopkins,gary barnidge,cincinnati,
blake bortles,david johnson,doug martin,tevin coleman,brandin cooks,deandre hopkins,kenny britt,tyler eifert,new orleans,
tom brady,david johnson,devontae booker,tevin coleman,rishard matthews,brandon marshall,deandre hopkins,jared cook,denver,
aaron rodgers,david johnson,todd gurley,thomas rawls,kelvin benjamin,brandon marshall,mike wallace,hunter henry,jacksonville,
ryan fitzpatrick,devonta freeman,jeremy hill,thomas rawls,odell beckham,kenny britt,tyler boyd,greg olsen,denver,
matt barkley,melvin gordon,demarco murray,odell beckham,brandon marshall,steve smith,cj fiedorowicz,charles clay,jacksonville,
tom brady,thomas rawls,isaiah crowell,chris ivory,amari cooper,kelvin benjamin,mike wallace,travis kelce,new orleans,
aaron rodgers,david johnson,devonta freeman,amari cooper,mike wallace,kenny britt,gary barnidge,jared cook,green bay,
colin kaepernick,david johnson,isaiah crowell,devontae booker,amari cooper,kelvin benjamin,brandon marshall,gary barnidge,jacksonville,
aaron rodgers,david johnson,devonta freeman,jeremy hill,deandre hopkins,mike wallace,kenny britt,gary barnidge,green bay,
cam newton,david johnson,james starks,terrance west,amari cooper,jordy nelson,brandon marshall,gary barnidge,jacksonville,
cam newton,david johnson,jeremy hill,todd gurley,kelvin benjamin,mike wallace,steve smith,tyler eifert,cincinnati,
colin kaepernick,devonta freeman,carlos hyde,julio jones,rishard matthews,brandon marshall,tyler eifert,travis kelce,tennessee,
cam newton,david johnson,jeremy hill,julio jones,brandon marshall,kenny britt,travis kelce,gary barnidge,green bay,
blake bortles,david johnson,doug martin,chris ivory,terrelle pryor,kelvin benjamin,deandre hopkins,travis kelce,new orleans,
ryan fitzpatrick,devonta freeman,thomas rawls,odell beckham,terrelle pryor,rishard matthews,kenny britt,gary barnidge,denver,
tyrod taylor,david johnson,chris ivory,amari cooper,mike wallace,kenny britt,greg olsen,hunter henry,cincinnati,
tom brady,david johnson,jeremy hill,terrelle pryor,rishard matthews,deandre hopkins,mike wallace,jared cook,cincinnati,
tom brady,demarco murray,todd gurley,devontae booker,terrelle pryor,brandon marshall,kenny britt,jared cook,san diego,
blake bortles,david johnson,jeremy hill,thomas rawls,allen robinson,terrelle pryor,deandre hopkins,cj fiedorowicz,tennessee,
tom brady,david johnson,jeremy hill,brandon marshall,kenny britt,steve smith,gary barnidge,hunter henry,san diego,
matt ryan,david johnson,devonta freeman,james starks,deandre hopkins,mike wallace,tyler boyd,travis kelce,new orleans,
aaron rodgers,demarco murray,devonta freeman,rashad jennings,brandin cooks,steve smith,tyler boyd,gary barnidge,jacksonville,
cam newton,rashad jennings,isaiah crowell,julio jones,brandon marshall,mike wallace,greg olsen,cj fiedorowicz,denver,
cam newton,demarco murray,todd gurley,dion lewis,amari cooper,allen robinson,kelvin benjamin,gary barnidge,new orleans,
marcus mariota,jeremy hill,carlos hyde,terrance west,amari cooper,allen robinson,brandon marshall,greg olsen,new orleans,
blake bortles,david johnson,devonta freeman,todd gurley,kelvin benjamin,brandon marshall,deandre hopkins,charles clay,new orleans,
cam newton,david johnson,jeremy hill,brandin cooks,terrelle pryor,deandre hopkins,tyler eifert,gary barnidge,green bay,

1765.45,100.758
tyrod taylor,david johnson,jeremy hill,thomas rawls,amari cooper,terrelle pryor,deandre hopkins,charles clay,tennessee,
tyrod taylor,devonta freeman,rashad jennings,doug martin,allen robinson,brandin cooks,kenny britt,cj fiedorowicz,green bay,
cam newton,devonta freeman,todd gurley,carlos hyde,julio jones,rishard matthews,steve smith,jared cook,tennessee,
carson wentz,melvin gordon,james starks,chris ivory,brandin cooks,kelvin benjamin,kenny britt,tyler eifert,denver,
aaron rodgers,jeremy hill,isaiah crowell,terrance west,odell beckham,brandon marshall,steve smith,travis kelce,denver,
aaron rodgers,david johnson,jeremy hill,todd gurley,terrelle pryor,brandon marshall,deandre hopkins,charles clay,cincinnati,
ryan fitzpatrick,jeremy hill,todd gurley,thomas rawls,julio jones,amari cooper,mike wallace,travis kelce,san diego,
tom brady,melvin gordon,carlos hyde,tevin coleman,allen robinson,deandre hopkins,mike wallace,cj fiedorowicz,green bay,
marcus mariota,david johnson,jeremy hill,doug martin,kelvin benjamin,kenny britt,steve smith,charles clay,san diego,
tyrod taylor,jeremy hill,isaiah crowell,amari cooper,allen robinson,rishard matthews,mike wallace,travis kelce,san diego,
carson wentz,david johnson,thomas rawls,devontae booker,amari cooper,terrelle pryor,deandre hopkins,charles clay,tennessee,
matt ryan,jeremy hill,rashad jennings,devontae booker,odell beckham,deandre hopkins,mike wallace,tyler eifert,san diego,
blake bortles,devonta freeman,james starks,odell beckham,allen robinson,deandre hopkins,devante parker,tyler eifert,san diego,
matt ryan,jeremy hill,doug martin,devontae booker,odell beckham,mike wallace,devante parker,tyler eifert,san diego,
tom brady,jeremy hill,rashad jennings,thomas rawls,julio jones,mike wallace,kenny britt,cj fiedorowicz,tennessee,
colin kaepernick,rashad jennings,isaiah crowell,chris ivory,amari cooper,brandin cooks,deandre hopkins,greg olsen,new orleans,
marcus mariota,david johnson,jeremy hill,doug martin,kelvin benjamin,kenny britt,steve smith,charles clay,green bay,
matt ryan,david johnson,dion lewis,brandon marshall,deandre hopkins,tyler boyd,greg olsen,travis kelce,denver,
colin kaepernick,thomas rawls,james starks,terrance west,julio jones,brandon marshall,deandre hopkins,tyler eifert,new orleans,
marcus mariota,david johnson,devonta freeman,tevin coleman,amari cooper,mike wallace,kenny britt,gary barnidge,jacksonville,
tom brady,david johnson,jeremy hill,terrelle pryor,rishard matthews,deandre hopkins,mike wallace,jared cook,cincinnati,
aaron rodgers,david johnson,jeremy hill,tevin coleman,amari cooper,mike wallace,steve smith,gary barnidge,new orleans,
tyrod taylor,melvin gordon,devontae booker,allen robinson,terrelle pryor,kenny britt,steve smith,hunter henry,san diego,
blake bortles,david johnson,doug martin,tevin coleman,amari cooper,kelvin benjamin,tyler boyd,tyler eifert,cincinnati,
tom brady,devonta freeman,todd gurley,terrelle pryor,deandre hopkins,mike wallace,kenny britt,hunter henry,tennessee,
ryan fitzpatrick,demarco murray,doug martin,tevin coleman,odell beckham,allen robinson,mike wallace,cj fiedorowicz,tennessee,
cam newton,david johnson,rashad jennings,amari cooper,rishard matthews,steve smith,tyler eifert,jared cook,jacksonville,
ryan fitzpatrick,demarco murray,isaiah crowell,tevin coleman,odell beckham,amari cooper,brandon marshall,charles clay,jacksonville,
matt ryan,david johnson,jeremy hill,todd gurley,allen robinson,kelvin benjamin,tyler boyd,charles clay,tennessee,
cam newton,rashad jennings,tevin coleman,odell beckham,brandin cooks,kelvin benjamin,deandre hopkins,charles clay,tennessee,
blake bortles,david johnson,thomas rawls,kelvin benjamin,rishard matthews,brandon marshall,deandre hopkins,hunter henry,cincinnati,
blake bortles,david johnson,carlos hyde,james starks,julio jones,kelvin benjamin,brandon marshall,jared cook,san diego,
aaron rodgers,david johnson,jeremy hill,rashad jennings,amari cooper,brandon marshall,mike wallace,gary barnidge,green bay,
