12995.1,63.021
198.269
aaron rodgers,devonta freeman,jeremy hill,rashad jennings,allen robinson,kelvin benjamin,brandon marshall,greg olsen,tennessee,
cam newton,demarco murray,jeremy hill,thomas rawls,terrelle pryor,kelvin benjamin,deandre hopkins,greg olsen,tennessee,
tom brady,jeremy hill,carlos hyde,tevin coleman,amari cooper,allen robinson,deandre hopkins,tyler eifert,denver,
tom brady,demarco murray,jeremy hill,carlos hyde,amari cooper,deandre hopkins,steve smith,gary barnidge,new orleans,
colin kaepernick,devonta freeman,rashad jennings,allen robinson,brandon marshall,deandre hopkins,mike wallace,greg olsen,tennessee,
cam newton,david johnson,devonta freeman,jeremy hill,terrelle pryor,deandre hopkins,mike wallace,gary barnidge,new orleans,
tom brady,devonta freeman,chris ivory,amari cooper,kelvin benjamin,brandon marshall,deandre hopkins,greg olsen,tennessee,
aaron rodgers,devonta freeman,tevin coleman,james starks,amari cooper,allen robinson,mike wallace,greg olsen,tennessee,
marcus mariota,david johnson,jeremy hill,thomas rawls,amari cooper,kelvin benjamin,tyler boyd,gary barnidge,tennessee,
tom brady,jeremy hill,rashad jennings,thomas rawls,terrelle pryor,rishard matthews,tyler boyd,greg olsen,denver,
blake bortles,david johnson,jeremy hill,rashad jennings,amari cooper,rishard matthews,brandon marshall,travis kelce,tennessee,
cam newton,david johnson,jeremy hill,thomas rawls,kelvin benjamin,mike wallace,steve smith,travis kelce,san diego,
aaron rodgers,carlos hyde,thomas rawls,amari cooper,kelvin benjamin,brandon marshall,mike wallace,tyler eifert,tennessee,
ryan fitzpatrick,david johnson,doug martin,tevin coleman,amari cooper,kelvin benjamin,mike wallace,greg olsen,cincinnati,
aaron rodgers,demarco murray,jeremy hill,carlos hyde,terrelle pryor,kelvin benjamin,brandon marshall,tyler eifert,tennessee,
aaron rodgers,todd gurley,carlos hyde,tevin coleman,amari cooper,terrelle pryor,steve smith,greg olsen,cincinnati,
tom brady,david johnson,thomas rawls,allen robinson,kelvin benjamin,mike wallace,charles clay,hunter henry,tennessee,
tom brady,david johnson,jeremy hill,thomas rawls,kelvin benjamin,deandre hopkins,mike wallace,charles clay,cincinnati,
tom brady,david johnson,devontae booker,tevin coleman,allen robinson,kenny britt,steve smith,gary barnidge,tennessee,
aaron rodgers,devonta freeman,doug martin,devontae booker,terrelle pryor,rishard matthews,steve smith,greg olsen,tennessee,
cam newton,david johnson,carlos hyde,tevin coleman,amari cooper,rishard matthews,brandon marshall,gary barnidge,tennessee,
aaron rodgers,carlos hyde,devontae booker,amari cooper,allen robinson,kelvin benjamin,deandre hopkins,travis kelce,tennessee,
tom brady,david johnson,devonta freeman,jeremy hill,brandon marshall,mike wallace,steve smith,charles clay,new orleans,
tom brady,demarco murray,jeremy hill,thomas rawls,allen robinson,kelvin benjamin,brandon marshall,travis kelce,cincinnati,
tom brady,carlos hyde,rashad jennings,tevin coleman,terrelle pryor,rishard matthews,brandon marshall,greg olsen,denver,
tom brady,rashad jennings,thomas rawls,allen robinson,terrelle pryor,deandre hopkins,mike wallace,greg olsen,tennessee,
matt ryan,david johnson,jeremy hill,rashad jennings,terrelle pryor,brandon marshall,steve smith,travis kelce,tennessee,
tom brady,carlos hyde,thomas rawls,doug martin,allen robinson,rishard matthews,brandon marshall,tyler eifert,denver,
tom brady,jeremy hill,thomas rawls,devontae booker,amari cooper,allen robinson,terrelle pryor,travis kelce,tennessee,
cam newton,david johnson,jeremy hill,thomas rawls,rishard matthews,deandre hopkins,mike wallace,tyler eifert,new orleans,
aaron rodgers,melvin gordon,carlos hyde,tevin coleman,terrelle pryor,kelvin benjamin,brandon marshall,travis kelce,new orleans,
aaron rodgers,carlos hyde,rashad jennings,thomas rawls,allen robinson,kelvin benjamin,mike wallace,tyler eifert,denver,
ryan fitzpatrick,devonta freeman,jeremy hill,thomas rawls,brandon marshall,deandre hopkins,mike wallace,greg olsen,tennessee,
cam newton,demarco murray,rashad jennings,isaiah crowell,terrelle pryor,mike wallace,steve smith,greg olsen,tennessee,
cam newton,david johnson,thomas rawls,devontae booker,terrelle pryor,mike wallace,steve smith,tyler eifert,tennessee,
tom brady,devonta freeman,carlos hyde,rashad jennings,allen robinson,terrelle pryor,deandre hopkins,travis kelce,tennessee,
blake bortles,david johnson,jeremy hill,amari cooper,kelvin benjamin,brandon marshall,mike wallace,travis kelce,san diego,
aaron rodgers,demarco murray,devonta freeman,thomas rawls,terrelle pryor,kelvin benjamin,mike wallace,charles clay,new orleans,
blake bortles,david johnson,devonta freeman,rashad jennings,allen robinson,terrelle pryor,brandon marshall,gary barnidge,tennessee,
tom brady,demarco murray,jeremy hill,tevin coleman,terrelle pryor,kelvin benjamin,deandre hopkins,greg olsen,cincinnati,
aaron rodgers,carlos hyde,doug martin,devontae booker,allen robinson,terrelle pryor,deandre hopkins,greg olsen,new orleans,
cam newton,david johnson,devonta freeman,jeremy hill,allen robinson,deandre hopkins,steve smith,gary barnidge,tennessee,
blake bortles,david johnson,jeremy hill,carlos hyde,terrelle pryor,kelvin benjamin,mike wallace,greg olsen,cincinnati,
blake bortles,david johnson,isaiah crowell,tevin coleman,allen robinson,brandon marshall,deandre hopkins,greg olsen,denver,
cam newton,david johnson,thomas rawls,tevin coleman,amari cooper,kelvin benjamin,kenny britt,charles clay,tennessee,
tom brady,jeremy hill,tevin coleman,amari cooper,kelvin benjamin,deandre hopkins,mike wallace,greg olsen,tennessee,
cam newton,melvin gordon,devonta freeman,jeremy hill,allen robinson,deandre hopkins,mike wallace,travis kelce,tennessee,
carson wentz,david johnson,carlos hyde,thomas rawls,kelvin benjamin,deandre hopkins,steve smith,greg olsen,tennessee,
tom brady,david johnson,devonta freeman,allen robinson,brandon marshall,deandre hopkins,mike wallace,greg olsen,tennessee,
tom brady,jeremy hill,rashad jennings,doug martin,allen robinson,rishard matthews,steve smith,greg olsen,new orleans,

13145.4,66.1974
191.026
ryan fitzpatrick,devonta freeman,jeremy hill,rashad jennings,allen robinson,kelvin benjamin,brandon marshall,greg olsen,tennessee,
cam newton,demarco murray,jeremy hill,thomas rawls,terrelle pryor,kelvin benjamin,deandre hopkins,greg olsen,tennessee,
tom brady,jeremy hill,carlos hyde,isaiah crowell,amari cooper,allen robinson,deandre hopkins,tyler eifert,new orleans,
tom brady,jeremy hill,doug martin,devontae booker,amari cooper,terrelle pryor,deandre hopkins,tyler eifert,denver,
carson wentz,devonta freeman,rashad jennings,allen robinson,brandon marshall,deandre hopkins,mike wallace,greg olsen,tennessee,
cam newton,david johnson,devonta freeman,jeremy hill,terrelle pryor,deandre hopkins,mike wallace,gary barnidge,san diego,
tom brady,devonta freeman,amari cooper,kelvin benjamin,brandon marshall,deandre hopkins,greg olsen,tennessee,
cam newton,devonta freeman,carlos hyde,tevin coleman,amari cooper,allen robinson,mike wallace,greg olsen,tennessee,
blake bortles,david johnson,jeremy hill,thomas rawls,amari cooper,terrelle pryor,kelvin benjamin,charles clay,tennessee,
tom brady,jeremy hill,rashad jennings,thomas rawls,brandin cooks,kenny britt,steve smith,greg olsen,cincinnati,
marcus mariota,david johnson,jeremy hill,rashad jennings,amari cooper,brandon marshall,steve smith,gary barnidge,tennessee,
cam newton,david johnson,jeremy hill,thomas rawls,terrelle pryor,kelvin benjamin,mike wallace,gary barnidge,denver,
aaron rodgers,carlos hyde,thomas rawls,amari cooper,kelvin benjamin,brandon marshall,mike wallace,tyler eifert,tennessee,
blake bortles,david johnson,tevin coleman,amari cooper,kelvin benjamin,mike wallace,steve smith,greg olsen,cincinnati,
aaron rodgers,demarco murray,jeremy hill,carlos hyde,terrelle pryor,kelvin benjamin,brandon marshall,travis kelce,tennessee,
aaron rodgers,carlos hyde,devontae booker,tevin coleman,amari cooper,terrelle pryor,steve smith,greg olsen,san diego,
tom brady,david johnson,thomas rawls,allen robinson,kelvin benjamin,mike wallace,charles clay,jared cook,tennessee,
tom brady,david johnson,jeremy hill,thomas rawls,kelvin benjamin,deandre hopkins,mike wallace,charles clay,cincinnati,
tom brady,david johnson,devontae booker,tevin coleman,allen robinson,steve smith,tyler boyd,travis kelce,tennessee,
aaron rodgers,devonta freeman,carlos hyde,doug martin,terrelle pryor,rishard matthews,tyler boyd,greg olsen,tennessee,
