ben roethlisberger,antonio brown,0.4
tyrod taylor,jordan matthews,0.4
matthew stafford,golden tate,0.4
eli manning,odell beckham,0.4
josh mccown,robby anderson,0.4
derek carr,amari cooper,0.4
matt ryan,julio jones,0.4
russell wilson,doug baldwin,0.4
philip rivers,keenan allen,0.4
jameis winston,mike evans,0.4
kirk cousins,terrelle pryor,0.4
jay cutler,devante parker,0.4
blake bortles,allen robinson,0.4
aaron rodgers,jordy nelson,0.4
jared goff,sammy watkins,0.4
andrew luck,ty hilton,0.4
carson palmer,larry fitzgerald,0.4
drew brees,michael thomas,0.4
drew brees,willie snead,0.29
alex smith,tyreek hill,0.29
derek carr,michael crabtree,0.29
trevor siemian,demaryius thomas,0.4
trevor siemian,emmanuel sanders,0.29
kirk cousins,jamison crowder,0.29
carson wentz,alshon jeffery,0.4
alex smith,travis kelce,0.28
andy dalton,tyler eifert,0.28
carson wentz,zach ertz,0.28
aaron rodgers,davante adams,0.29
cam newton,greg olsen,0.28
sam bradford,kyle rudolph,0.28
tom brady,brandin cooks,0.29
tom brady,rob gronkowski,0.28
eli manning,brandon marshall,0.29
blake bortles,marqise lee,0.29
ben roethlisberger,martavis bryant,0.29
marcus mariota,eric decker,0.29
philip rivers,tyrell williams,0.29
matthew stafford,eric ebron,0.28
aaron rodgers,cincinnati,-0.44
cam newton, new orleans,-0.44
jameis winston,minnesota,-0.44
