aaron rodgers,38,23.6,0,
dak prescott,31,20.9,0,
derek carr,30,17.8,0,
colin kaepernick,29,17.8,0,
matthew stafford,30,17.1,0,
ryan tannehill,29,17.1,0,
russell wilson,28,16.9,0,
tyrod taylor,28,16.8,0,
carson wentz,27,16.5,0,
cody kessler,21,16.3,0,
ezekiel elliott,39,21.1,1,
melvin gordon,29,20.9,1,
leveon bell,37,19,1,
devontae booker,28,14.5,1,
matt forte,29,13.5,1,
isaiah crowell,19,13.2,1,*
frank gore,17,12.3,1,*
charcandrick west,19,12.1,1,
theo riddick,17,11.9,1,
darren sproles,15,11,1,
dujuan harris,12,9.1,1,
cj prosise,10,8.5,1,
antonio brown,37,15.7,2,
donte moncrief,16,14.9,2,
odell beckham,34,14.3,2,
dez bryant,25,13.4,2,
demaryius thomas,24,13.2,2,
jordy nelson,27,13,2,
brandon marshall,27,12.9,2,
emmanuel sanders,25,12.7,2,
kelvin benjamin,25,12.5,2,
terrelle pryor,23,12.4,2,
stefon diggs,22,12.3,2,
marvin jones,24,12,2,
tyrell williams,21,11.9,2,
jordan matthews,22,11.5,2,
mike wallace,19,11.3,2,*
ty montgomery,20,11,2,
jeremy maclin,21,10.5,2,
travis benjamin,19,10.1,2,
dontrelle inman,12,9.7,2,*
terrance williams,15,8.5,2,
anquan boldin,16,8.2,2,
greg olsen,27,11.6,3,
travis kelce,19,10.7,3,
jimmy graham,21,9.7,3,
antonio gates,17,9.2,3,
gary barnidge,18,8.8,3,
dennis pitta,17,8.7,3,
eric ebron,16,8.7,3,
julius thomas,13,6.7,3,
virgil green,10,6,3,
zach ertz,12,5.5,3,
kansas city,19,11,4,
green bay,17,10,4,
carolina,15,9.5,4,
saints,10,6,4,
oakland,11,7,4,
