ben roethlisberger,39,25.8,0,
cam newton,36,25.4,0,
aaron rodgers,35,24.2,0,
matthew stafford,34,21.3,0,
kirk cousins,32,20.8,0,
derek carr,31,20.8,0,
blake bortles,32,20.4,0,
andy dalton,28,20.1,0,
joe flacco,26,18.6,0,
colin kaepernick,27,18.4,0,
cody kessler,21,16.1,0,
leveon bell,40,25.4,1,
demarco murray,39,23.8,1,
david johnson,39,21.2,1,
ezekiel elliott,36,19.7,1,
legarrette blount,30,19.3,1,
lesean mccoy,33,18.9,1,
jay ajayi,31,18.5,1,
jeremy hill,20,16.2,1,
spencer ware,26,16.1,1,
lamar miller,26,16,1,
frank gore,22,14.6,1,
jonathan stewart,23,14.2,1,
todd gurley,21,14.2,1,
rob kelley,17,14.1,1,
mark ingram,19,13.4,1,
terrance west,14,11.3,1,
rashad jennings,13,10.2,1,
tj yeldon,15,10,1,
darren sproles,14,9.7,1,
chris thompson,12,8,1,
antonio brown,38,21.7,2,
aj green,34,19,2,
odell beckham,38,17.1,2,
ty hilton,31,17,2,
allen robinson,23,16,2,
jordy nelson,25,15.9,2,
dez bryant,22,15.8,2,
kelvin benjamin,21,15.2,2,
terrelle pryor,22,14.9,2,
doug baldwin,22,14.8,2,
julian edelman,21,14.4,2,
jarvis landry,21,14.4,2,
deandre hopkins,20,14.1,2,
jordan matthews,18,12.6,2,
marvin jones,19,12.3,2,
donte moncrief,19,12.2,2,
cole beasley,19,12,2,
pierre garcon,16,11.9,2,
mike wallace,20,11.8,2,
robert woods,18,10.7,2,
steve smith,18,10.6,2,
jeremy maclin,18,9.7,2,
tavon austin,13,9.5,2,
eddie royal,13,9.4,2,
adam thielen,10,9,2,
jeremy kerley,10,9,2,
allen hurns,14,8.6,2,
brian quick,10,8.2,2,
greg olsen,24,15,3,
tyler eifert,21,10.9,3,
jimmy graham,21,10.8,3,
delanie walker,22,10.8,3,
zach miller,17,10.8,3,
travis kelce,19,10.7,3,
martellus bennett,16,10.6,3,
kyle rudolph,14,9.9,3,
dennis pitta,13,9.5,3,
gary barnidge,11,8.9,3,
ladarius green,10,6.9,3,
will tye,10,6.5,3,
minnesota,21,11.2,4,
kansas city,20,9.7,4,
new england,19,9.4,4,
tampa bay,11,9.4,4,
chicago,13,9.1,4,
new orleans,12,8.6,4,
cleveland,10,7,4,
jacksonville,10,6.5,4,
houston,10,6.2,4,
