tom brady,40,23.8,0,
aaron rodgers,38,22.2,0,
marcus mariota,35,20.5,0,
cam newton,33,20.4,0,
matt ryan,35,20,0,
tyrod taylor,31,17.7,0,
colin kaepernick,32,17.4,0,
blake bortles,25,17.1,0,
carson wentz,25,16.1,0,
ryan fitzpatrick,23,16,0,
matt barkley,20,12.5,0,
david johnson,40,25.4,1,
melvin gordon,35,18,1,
demarco murray,32,17.2,1,
devonta freeman,24,15.9,1,
jeremy hill,17,14.8,1,
todd gurley,23,13.7,1,
carlos hyde,21,13.7,1,
rashad jennings,20,13.5,1,
doug martin,20,13,1,
thomas rawls,19,13,1,
isaiah crowell,19,12.2,1,
devontae booker,18,12,1,
tevin coleman,14,10.8,1,
james starks,15,10.4,1,
terrance west,16,9.6,1,
chris ivory,14,8.7,1,
dion lewis,13,8.2,1,
odell beckham,39,18.1,2,
julio jones,34,16.3,2,
amari cooper,28,16,2,
allen robinson,24,14.9,2,
brandin cooks,30,14.3,2,
jordy nelson,30,13.3,2,
terrelle pryor,22,13,2,
kelvin benjamin,21,12.7,2,
brandon marshall,17,12.4,2,
rishard matthews,22,12.4,2,
deandre hopkins,18,12.3,2,
mike wallace,18,12.1,2,
jarvis landry,20,12,2,
kenny britt,20,11.7,2,
steve smith,18,11.2,2,
tyler boyd,15,9.4,2,
devante parker,17,8.1,2,
greg olsen,24,14.2,3,
rob gronkowski,25,13.2,3,
tyler eifert,18,10.4,3,
travis kelce,17,9.1,3,
cj fiedorowicz,16,7.7,3,
gary barnidge,11,7.6,3,
charles clay,11,7.4,3,
hunter henry,13,6.7,3,
jared cook,10,5.7,3,
denver,19,10.8,4,
san diego,17,10.3,4,
cincinnati,12,9.9,4,
green bay,11,7.4,4,
san francisco,10,6.3,4,
jacksonville,10,5.8,4,
