aaron rodgers,39,24,0,*
matt ryan,38,21.8,0,
drew brees,36,19.7,0,
ben roethlisberger,35,19.5,0,
cam newton,35,19.1,0,*
carson palmer,30,18.2,0,
philip rivers,32,18.1,0,*
jameis winston,30,17.6,0,*
russell wilson,29,16.3,0,
kirk cousins,28,16.2,0,*
trevor siemian,26,16.1,0,
colin kaepernick,24,14.8,0,
sam bradford,23,14.7,0,
case keenum,23,14.7,0,
ryan tannehill,25,13.8,0,*
ryan fitzpatrick,24,13.8,0,*
david johnson,41,23.3,1,
ezekiel elliott,39,20.9,1,
leveon bell,35,20.1,1,
melvin gordon,34,19.1,1,
jay ajayi,30,18.4,1,
devonta freeman,28,17.4,1,*
matt forte,26,16.9,1,*
devontae booker,24,16,1,
lamar miller,25,13.3,1,*
legarrette blount,22,13.1,1,
darren sproles,18,12.8,1,
mark ingram,20,12.2,1,
todd gurley,21,11.2,1,
cj prosise,11,10,1,
chris ivory,14,10.3,1,*
matt asiata,13,8.8,1,*
antonio brown,35,17.9,2,
mike evans,40,16.6,2,
julio jones,36,16.2,2,
odell beckham,32,15.8,2,
alshon jeffery,27,15.5,2,
larry fitzgerald,32,15.3,2,*
demaryius thomas,23,14.7,2,*
jordy nelson,28,13.6,2,*
emmanuel sanders,23,13.5,2,
michael thomas,20,13.4,2,*
jarvis landry,25,13.2,2,
brandon marshall,24,13,2,
tyrell williams,18,12.9,2,*
dez bryant,19,12.7,2,*
deandre hopkins,20,12.3,2,
allen robinson,19,12,2,
doug baldwin,19,11.8,2,
julian edelman,18,11.2,2,
jj nelson,18,11,2,
rishard matthews,17,10.3,2,
cole beasley,17,10.2,2,
pierre garcon,16,10.1,2,*
quincy enunwa,17,9.2,2,*
dontrelle inman,11,10.1,2,
sterling shepard,15,8.9,2,
sammie coates,14,8.5,2,
brian quick,14,8,2,
rob gronkowski,29,12.7,3,
jordan reed,26,12.4,3,
greg olsen,23,11.8,3,
delanie walker,21,11.5,3,
travis kelce,22,11.2,3,*
tyler eifert,20,11.5,3,
jimmy graham,20,10.5,3,*
zach miller,19,10.1,3,*
kyle rudolph,15,10.1,3,*
cj fiedorowicz,15,10,3,*
lance kendricks,11,8.2,3,
will tye,10,6.3,3,*
arizona,20,11.1,4,
houston,15,10.8,4,
jacksonville,12,8.8,4,
tampa bay,13,8.6,4,*
new orleans,10,8.6,4,
