Rob Gronkowski,0
Jordan Reed,1
Greg Olsen,2
Delanie Walker,3
Travis Kelce,4
Tyler Eifert,5
Jimmy Graham,6
Zach Miller,7
Kyle Rudolph,8
C.J. Fiedorowicz,9
Jason Witten,10
Antonio Gates,11
Zach Ertz,12
Lance Kendricks,13
Cameron Brate,14
Coby Fleener,15
Julius Thomas,16
Will Tye,17
Martellus Bennett,18
Austin Hooper,19
Dennis Pitta,20
Hunter Henry,21
Richard Rodgers,22
Vance McDonald,23
Virgil Green,24
Gary Barnidge,25
Ladarius Green,26
MarQueis Gray,27
Vernon Davis,28
Jesse James,29
Trey Burton,30
Ryan Griffin,31
Jermaine Gresham,32
Austin Seferian-Jenkins,33
