4180.22,29.9591
135.191
ben roethlisberger,devonta freeman,mark ingram,jay ajayi,odell beckham,brandon marshall,golden tate,jack doyle,green bay,
kirk cousins,david johnson,mark ingram,rob kelley,brandin cooks,michael thomas,julian edelman,jack doyle,green bay,
colin kaepernick,david johnson,mark ingram,jeremy hill,brandon marshall,golden tate,deandre hopkins,kyle rudolph,cincinnati,
drew brees,matt forte,jeremy hill,doug martin,odell beckham,larry fitzgerald,kelvin benjamin,jack doyle,green bay,
colin kaepernick,david johnson,mark ingram,doug martin,michael crabtree,michael thomas,deandre hopkins,vernon davis,san francisco,
tyrod taylor,david johnson,mark ingram,rob kelley,brandon marshall,kelvin benjamin,deandre hopkins,kyle rudolph,san francisco,
kirk cousins,david johnson,doug martin,rob kelley,brandin cooks,brandon marshall,kelvin benjamin,tyler eifert,cincinnati,
ben roethlisberger,lesean mccoy,jeremy hill,doug martin,larry fitzgerald,brandin cooks,golden tate,tyler eifert,cincinnati,
ben roethlisberger,david johnson,matt forte,rob kelley,brandin cooks,michael thomas,tyreek hill,jack doyle,green bay,
ben roethlisberger,lesean mccoy,matt forte,doug martin,mike evans,brandon marshall,golden tate,jack doyle,cincinnati,
colin kaepernick,david johnson,mark ingram,rob kelley,golden tate,deandre hopkins,jordan matthews,tyler eifert,green bay,
ben roethlisberger,lesean mccoy,mark ingram,jeremy hill,odell beckham,michael crabtree,brandon marshall,jack doyle,green bay,
ben roethlisberger,david johnson,mark ingram,rob kelley,brandin cooks,kelvin benjamin,tyreek hill,jack doyle,san francisco,

