3748.92,29.0228
124.692
ben roethlisberger,david johnson,mark ingram,matt forte,michael thomas,kelvin benjamin,deandre hopkins,vernon davis,green bay,
drew brees,mark ingram,matt forte,rob kelley,odell beckham,brandon marshall,golden tate,kyle rudolph,green bay,
drew brees,matt forte,jeremy hill,doug martin,brandin cooks,michael thomas,julian edelman,tyler eifert,green bay,
ben roethlisberger,frank gore,jeremy hill,rob kelley,odell beckham,brandin cooks,brandon marshall,tyler eifert,san francisco,
colin kaepernick,david johnson,mark ingram,matt forte,michael thomas,julian edelman,deandre hopkins,vernon davis,green bay,
ben roethlisberger,david johnson,mark ingram,jeremy hill,michael thomas,brandon marshall,julian edelman,jack doyle,cincinnati,
tyrod taylor,david johnson,matt forte,doug martin,michael crabtree,michael thomas,kelvin benjamin,jack doyle,green bay,
ben roethlisberger,david johnson,jeremy hill,rob kelley,larry fitzgerald,michael thomas,golden tate,jack doyle,green bay,
drew brees,matt forte,frank gore,jeremy hill,larry fitzgerald,brandin cooks,michael thomas,jack doyle,cincinnati,
colin kaepernick,david johnson,mark ingram,doug martin,michael crabtree,michael thomas,kelvin benjamin,jack doyle,cincinnati,
drew brees,lesean mccoy,doug martin,rob kelley,odell beckham,michael thomas,kelvin benjamin,jack doyle,cincinnati,
ben roethlisberger,frank gore,doug martin,rob kelley,odell beckham,larry fitzgerald,michael thomas,tyler eifert,green bay,
ben roethlisberger,mark ingram,doug martin,rob kelley,mike evans,odell beckham,kelvin benjamin,jack doyle,san francisco,

