9600.28,65.011
139.981
ben roethlisberger,jeremy hill,doug martin,rob kelley,antonio brown,michael crabtree,allen robinson,cameron brate,san francisco,
kirk cousins,david johnson,mark ingram,rob kelley,dez bryant,brandin cooks,allen robinson,vernon davis,san francisco,
aaron rodgers,david johnson,frank gore,devontae booker,brandon marshall,julian edelman,golden tate,vernon davis,green bay,
aaron rodgers,jay ajayi,frank gore,rob kelley,michael thomas,brandon marshall,allen robinson,tyler eifert,miami,
kirk cousins,mark ingram,frank gore,jeremy hill,brandin cooks,brandon marshall,kelvin benjamin,rob gronkowski,miami,
kirk cousins,david johnson,jeremy hill,devontae booker,michael crabtree,michael thomas,deandre hopkins,dennis pitta,san diego,
tyrod taylor,lesean mccoy,mark ingram,frank gore,michael crabtree,michael thomas,golden tate,tyler eifert,green bay,
aaron rodgers,devonta freeman,frank gore,michael crabtree,brandon marshall,golden tate,deandre hopkins,dennis pitta,denver,
drew brees,jeremy hill,rob kelley,mike evans,michael crabtree,allen robinson,deandre hopkins,jack doyle,san francisco,
aaron rodgers,david johnson,tim hightower,kenneth dixon,michael thomas,brandon marshall,golden tate,kyle rudolph,miami,
colin kaepernick,ezekiel elliott,frank gore,devontae booker,dez bryant,brandin cooks,deandre hopkins,jack doyle,cincinnati,
tyrod taylor,lesean mccoy,mark ingram,jeremy hill,brandin cooks,michael thomas,kelvin benjamin,tyler eifert,green bay,
drew brees,mark ingram,matt forte,rob kelley,dez bryant,larry fitzgerald,michael thomas,jack doyle,green bay,
drew brees,jordan howard,doug martin,rob kelley,dez bryant,brandon marshall,deandre hopkins,jack doyle,cincinnati,
eli manning,david johnson,mark ingram,rob kelley,michael crabtree,michael thomas,allen robinson,jack doyle,miami,
aaron rodgers,mark ingram,doug martin,rob kelley,odell beckham,brandin cooks,deandre hopkins,kyle rudolph,green bay,
colin kaepernick,ezekiel elliott,mark ingram,jeremy hill,michael thomas,brandon marshall,golden tate,jack doyle,san francisco,
tyrod taylor,david johnson,frank gore,rob kelley,brandin cooks,golden tate,deandre hopkins,jack doyle,san francisco,
aaron rodgers,david johnson,frank gore,tim hightower,brandin cooks,michael thomas,deandre hopkins,vernon davis,cincinnati,
aaron rodgers,david johnson,mark ingram,doug martin,dez bryant,golden tate,allen robinson,jack doyle,san francisco,
tyrod taylor,frank gore,jeremy hill,rob kelley,odell beckham,larry fitzgerald,michael thomas,tyler eifert,green bay,
aaron rodgers,mark ingram,jeremy hill,dez bryant,michael crabtree,golden tate,deandre hopkins,kyle rudolph,baltimore,
ben roethlisberger,david johnson,doug martin,devontae booker,brandin cooks,michael crabtree,julian edelman,dennis pitta,green bay,
colin kaepernick,david johnson,matt forte,devontae booker,brandin cooks,brandon marshall,allen robinson,dennis pitta,san francisco,
aaron rodgers,david johnson,frank gore,rob kelley,brandon marshall,allen robinson,deandre hopkins,jack doyle,san francisco,
aaron rodgers,ezekiel elliott,frank gore,devontae booker,dez bryant,brandon marshall,deandre hopkins,vernon davis,cincinnati,
ben roethlisberger,ezekiel elliott,mark ingram,rob kelley,larry fitzgerald,allen robinson,tyreek hill,jack doyle,miami,
ben roethlisberger,david johnson,devontae booker,kenneth dixon,michael crabtree,brandon marshall,kelvin benjamin,tyler eifert,san francisco,
aaron rodgers,david johnson,jeremy hill,dez bryant,michael crabtree,allen robinson,jack doyle,san francisco,
drew brees,frank gore,jeremy hill,rob kelley,michael crabtree,brandon marshall,kelvin benjamin,rob gronkowski,san francisco,
kirk cousins,matt forte,jeremy hill,doug martin,odell beckham,brandon marshall,allen robinson,rob gronkowski,miami,
cam newton,david johnson,mark ingram,jeremy hill,michael crabtree,golden tate,deandre hopkins,jack doyle,san francisco,
ben roethlisberger,devonta freeman,matt forte,doug martin,brandon marshall,golden tate,allen robinson,rob gronkowski,seattle,
ben roethlisberger,mark ingram,jeremy hill,doug martin,brandin cooks,julian edelman,kelvin benjamin,rob gronkowski,miami,
colin kaepernick,ezekiel elliott,mark ingram,doug martin,larry fitzgerald,michael thomas,golden tate,jack doyle,green bay,
kirk cousins,ezekiel elliott,frank gore,rob kelley,brandin cooks,allen robinson,deandre hopkins,tyler eifert,green bay,
colin kaepernick,ezekiel elliott,frank gore,doug martin,brandin cooks,brandon marshall,deandre hopkins,jack doyle,san francisco,
aaron rodgers,jay ajayi,matt forte,rob kelley,michael crabtree,allen robinson,deandre hopkins,rob gronkowski,cincinnati,
ben roethlisberger,mark ingram,jay ajayi,doug martin,michael crabtree,golden tate,allen robinson,rob gronkowski,miami,
colin kaepernick,lesean mccoy,mark ingram,devontae booker,michael crabtree,brandon marshall,allen robinson,tyler eifert,miami,
tyrod taylor,david johnson,mark ingram,doug martin,brandon marshall,kelvin benjamin,allen robinson,jack doyle,baltimore,
eli manning,david johnson,mark ingram,devontae booker,michael thomas,julian edelman,kelvin benjamin,dennis pitta,miami,
drew brees,mark ingram,jeremy hill,doug martin,doug baldwin,larry fitzgerald,brandon marshall,jack doyle,green bay,
tyrod taylor,frank gore,jeremy hill,dez bryant,michael crabtree,brandon marshall,allen robinson,rob gronkowski,san diego,
kirk cousins,frank gore,jeremy hill,doug martin,odell beckham,larry fitzgerald,brandin cooks,jack doyle,miami,
aaron rodgers,frank gore,devontae booker,dez bryant,brandin cooks,michael crabtree,deandre hopkins,tyler eifert,green bay,
aaron rodgers,mark ingram,frank gore,tim hightower,brandin cooks,michael crabtree,deandre hopkins,rob gronkowski,san francisco,
tyrod taylor,lesean mccoy,mark ingram,jeremy hill,michael thomas,brandon marshall,golden tate,tyler eifert,miami,
colin kaepernick,lesean mccoy,jeremy hill,rob kelley,odell beckham,brandin cooks,julian edelman,jack doyle,san francisco,
kirk cousins,matt forte,frank gore,rob kelley,dez bryant,brandin cooks,michael crabtree,rob gronkowski,san francisco,

