3.06446e+06ms
8377.04,65.2691
ben roethlisberger,david johnson,doug martin,rob kelley,brandin cooks,brandon marshall,sammy watkins,martellus bennett,green bay,
colin kaepernick,david johnson,doug martin,rob kelley,michael thomas,brandon marshall,golden tate,tyler eifert,green bay,
ben roethlisberger,david johnson,rob kelley,devontae booker,michael thomas,sammy watkins,golden tate,tyler eifert,cincinnati,
ben roethlisberger,david johnson,matt forte,kenneth dixon,odell beckham,brandon marshall,golden tate,jack doyle,cincinnati,
eli manning,david johnson,matt forte,rob kelley,odell beckham,brandon marshall,tyreek hill,jack doyle,green bay,
ben roethlisberger,david johnson,lesean mccoy,kenneth dixon,brandin cooks,sammy watkins,golden tate,vernon davis,cincinnati,
colin kaepernick,david johnson,jeremy hill,doug martin,brandin cooks,brandon marshall,golden tate,martellus bennett,cincinnati,
ben roethlisberger,david johnson,jeremy hill,devontae booker,michael thomas,brandon marshall,sammy watkins,martellus bennett,green bay,
kirk cousins,david johnson,devonta freeman,rob kelley,michael thomas,brandon marshall,sammy watkins,jack doyle,green bay,
ben roethlisberger,lesean mccoy,matt forte,doug martin,brandin cooks,brandon marshall,sammy watkins,tyler eifert,san francisco,
colin kaepernick,david johnson,lesean mccoy,doug martin,michael thomas,sammy watkins,malcolm mitchell,jack doyle,cincinnati,
kirk cousins,david johnson,lesean mccoy,rob kelley,brandin cooks,brandon marshall,golden tate,vernon davis,cincinnati,
colin kaepernick,david johnson,devonta freeman,rob kelley,brandon marshall,golden tate,tyreek hill,martellus bennett,green bay,
kirk cousins,lesean mccoy,matt forte,doug martin,odell beckham,michael thomas,tyreek hill,tyler eifert,green bay,
drew brees,lesean mccoy,jeremy hill,rob kelley,brandin cooks,michael thomas,golden tate,martellus bennett,san francisco,
drew brees,david johnson,tim hightower,kenneth dixon,brandin cooks,brandon marshall,malcolm mitchell,tyler eifert,san francisco,
matthew stafford,david johnson,tim hightower,kenneth dixon,odell beckham,brandin cooks,tyreek hill,martellus bennett,green bay,
colin kaepernick,david johnson,matt forte,tim hightower,brandin cooks,sammy watkins,malcolm mitchell,tyler eifert,green bay,
ben roethlisberger,lesean mccoy,jeremy hill,devontae booker,odell beckham,brandin cooks,tyreek hill,vernon davis,san diego,
drew brees,devonta freeman,jeremy hill,rob kelley,odell beckham,michael thomas,sammy watkins,jack doyle,cincinnati,
drew brees,matt forte,doug martin,odell beckham,michael thomas,golden tate,tyler eifert,martellus bennett,san francisco,
kirk cousins,david johnson,matt forte,doug martin,odell beckham,brandon marshall,tyreek hill,vernon davis,green bay,
matthew stafford,devonta freeman,doug martin,rob kelley,odell beckham,brandon marshall,sammy watkins,tyler eifert,san francisco,
ben roethlisberger,david johnson,devonta freeman,doug martin,brandon marshall,sammy watkins,golden tate,jack doyle,cincinnati,
eli manning,david johnson,matt forte,devontae booker,brandon marshall,sammy watkins,tyreek hill,martellus bennett,san diego,
matthew stafford,lesean mccoy,devonta freeman,matt forte,brandin cooks,sammy watkins,tyreek hill,jack doyle,san francisco,
ben roethlisberger,david johnson,lesean mccoy,brandon marshall,sammy watkins,malcolm mitchell,martellus bennett,vernon davis,san diego,
colin kaepernick,lesean mccoy,doug martin,rob kelley,odell beckham,brandin cooks,brandon marshall,martellus bennett,san francisco,
matthew stafford,david johnson,jeremy hill,doug martin,brandin cooks,michael thomas,tyreek hill,jack doyle,green bay,
colin kaepernick,david johnson,devonta freeman,tim hightower,michael thomas,golden tate,tyreek hill,martellus bennett,san francisco,
ben roethlisberger,lesean mccoy,devonta freeman,matt forte,brandin cooks,michael thomas,brandon marshall,vernon davis,san francisco,
ben roethlisberger,devonta freeman,kenneth dixon,odell beckham,brandin cooks,sammy watkins,tyreek hill,tyler eifert,san francisco,
ben roethlisberger,david johnson,lesean mccoy,kenneth dixon,michael thomas,golden tate,malcolm mitchell,jack doyle,san diego,
colin kaepernick,david johnson,lesean mccoy,kenneth dixon,michael thomas,brandon marshall,tyreek hill,jack doyle,san francisco,
drew brees,devonta freeman,jeremy hill,doug martin,brandin cooks,michael thomas,brandon marshall,martellus bennett,san francisco,
drew brees,david johnson,doug martin,devontae booker,michael thomas,tyreek hill,malcolm mitchell,martellus bennett,san francisco,
kirk cousins,lesean mccoy,devonta freeman,jeremy hill,odell beckham,brandon marshall,golden tate,martellus bennett,cincinnati,
