tom brady,37,22.3,0,
aaron rodgers,37,22,0,
andrew luck,35,21.9,0,
drew brees,35,21.1,0,
cam newton,33,20.8,0,
matthew stafford,33,20.4,0,
russell wilson,31,20,0,
carson palmer,29,17.6,0,
dak prescott,29,17,0,
carson wentz,27,16.8,0,
ryan fitzpatrick,26,16.3,0,
philip rivers,28,16,0,*
jay cutler,25,10.6,0,*
david johnson,42,19,1,
ezekiel elliott,38,16.7,1,
devonta freeman,26,16.5,1,
spencer ware,30,15.7,1,
christine michael,32,15.6,1,
matt forte,21,15.2,1,
devontae booker,14,13.4,1,
latavius murray,20,13.2,1,
isaiah crowell,20,12.6,1,
mark ingram,19,12.3,1,
jonathan stewart,18,11.7,1,
matt asiata,15,11.2,1,
julio jones,39,17.4,2,
mike evans,38,17,2,
larry fitzgerald,34,16.2,2,
amari cooper,32,16,2,
brandon marshall,31,14.7,2,
deandre hopkins,29,13.7,2,
marvin jones,24,13.3,2,
doug baldwin,28,12.9,2,
randall cobb,24,12.9,2,*
emmanuel sanders,27,12.7,2,
brandin cooks,28,12.2,2,
demaryius thomas,25,12.1,2,
alshon jeffery,21,12.1,2,
kelvin benjamin,23,12.1,2,
ty montgomery,15,12,2,
julian edelman,17,11.7,2,
golden tate,20,11.7,2,
dez bryant,20,11.4,2,
michael thomas,20,11.1,2,
jordan matthews,19,10.8,2,
jeremy maclin,19,10.6,2,
davante adams,19,9.8,2,
quincy enunwa,17,9.6,2,
tyrell williams,14,9.4,2,
travis benjamin,15,8.1,2,
rob gronkowski,27,13.5,3,
jimmy graham,22,10.2,3,
travis kelce,23,10.2,3,*
kyle rudolph,17,9.5,3,
gary barnidge,16,8.9,3,
jack doyle,16,8.5,3,
eric ebron,16,7.9,3,
cj fiedorowicz,12,7.8,3,*
jason witten,13,7.3,3,
virgil green,10,5.3,3,
clive walford,10,5.2,3,
oakland,16,7.1,4,*
denver,18,8.4,4,*
new orleans,10,8.3,4,*
jets,13,9.4,4,
minn,22,11.5,4,
saints,10,6,4,
sd,14,7.5,4,*
