aaron rodgers,37,20.2,0,9.2,
derek carr,36,17.6,0,6.19,
cam newton,36,17.4,0,7.52,
matthew stafford,36,17.1,0,7.25,
kirk cousins,32,16.9,0,6.14,
carson wentz,31,15.6,0,6.34,
marcus mariota,28,15.3,0,7.38,
jameis winston,29,14.8,0,8.24,
deshone kizer,20,14.2,0,7.45,
leveon bell,40,18.8,1,9.74,
kareem hunt,38,17,1,10,
ezekiel elliott,38,17.1,1,7.88,*
jay ajayi,32,16.4,1,8.17,
lesean mccoy,34,15.5,1,8.15,
ty montgomery,25,15.25,1,7.22,
melvin gordon,31,14.8,1,8.12,
dalvin cook,27,13.75,1,8.65,
cj anderson,24,13.45,1,8.73,
christian mccaffrey,20,12.4,1,6.56,
marshawn lynch,21,12.25,1,8.58,
isaiah crowell,23,11.95,1,6.9,
tarik cohen,16,11.45,1,4.84,
ameer abdullah,19,10.55,1,6.95,
tevin coleman,17,10.4,1,4.98,
jacquizz rodgers,18,9.8,1,8.47,
mark ingram,19,9.8,1,5.19,
frank gore,16,9.7,1,5.58,
chris thompson,18,9.5,1,4.73,
darren sproles,13,9.25,1,5.21,
matt forte,14,8.85,1,4.17,
joe mixon,14,8.75,1,4.38,
derrick henry,14,8.55,1,6.16,
bilal powell,15,8.15,1,5.13,
duke johnson,11,8,1,4.28,
antonio brown,39,16.15,2,8.79,
julio jones,37,15.05,2,7.03,
aj green,28,14.45,2,6.53,
amari cooper,29,13.25,2,7.37,
mike evans,34,13.05,2,7.66,
michael crabtree,25,12.95,2,6.77,
keenan allen,26,12.5,2,6.86,
michael thomas,26,12.35,2,6.5,
deandre hopkins,20,12.3,2,6.28,
demaryius thomas,22,11.95,2,6.01,
golden tate,23,11.85,2,5.44,
larry fitzgerald,21,11.8,2,4.1,
davante adams,21,11.5,2,5.51,
terrelle pryor,18,11.5,2,6.05,
alshon jeffery,21,11.5,2,6.61,
emmanuel sanders,21,11.5,2,5.61,
kelvin benjamin,21,11.35,2,5.02,
brandin cooks,21,11.35,2,6.55,
jarvis landry,23,11.35,2,6.77,
devante parker,19,10.85,2,4.67,
jj nelson,18,9.85,2,5.23,
jamison crowder,17,9.75,2,4.65,
eric decker,14,9.55,2,6.86,
chris hogan,16,9.2,2,5.87,*
tyrell williams,15,9.15,2,5.06,
mohamed sanu,16,9,2,4.77,*
jermaine kearse,16,8.9,2,5.26,*
rashard higgins,14,8.2,2,4.5,*
ted ginn,15,8.15,2,4.96,*
cole beasley,15,8.05,2,5.73,*
rob gronkowski,27,11.9,3,9.35,
travis kelce,24,11.2,3,5.27,
zach ertz,25,10.5,3,5.65,
delanie walker,20,9.6,3,4.91,
jordan reed,21,9.25,3,4.5,
kyle rudolph,21,9.2,3,4.37,
jason witten,16,8.65,3,4.61,
eric ebron,13,8,3,5,
jared cook,14,7.65,3,4.24,
hunter henry,15,7.1,3,5.15,
zach miller,12,6.7,3,3.6,
ed dickson,10,6.3,3,4,
new england,20,7.8,4,6.64,
pittsburgh,19,7.8,4,5.34,
green bay,18,7.6,4,5.72,
miami,17,7.5,4,6.59,
philadelphia,17,7.5,4,5.19,
minnesota,17,7.1,4,5.65,
indianapolis,11,6.6,4,5.7,
new orleans,10,5.4,4,4.96,
chicago,10,5.4,4,4.85,
cincinnati,10,5.3,4,6,
new york jets,10,5.1,4,5.3,*
houston,10,5,4,4.42,*
