Le'Veon Bell,20.55,0.0,0.0,0.0,20.2,93.4,0.7,6.2,5.9,51.1,0.3,0.0,0.0,0.2,
David Johnson,19.53,0.0,0.0,0.0,20.9,97.3,0.8,5.7,3.9,36.7,0.2,0.0,0.0,0.3,
DeMarco Murray,16.71,0.0,0.0,0.0,20.3,91.9,0.7,3.5,2.8,20.4,0.2,0.0,0.0,0.1,
Ezekiel Elliott,15.84,0.0,0.0,0.0,21.7,91.7,0.6,3.0,2.3,20.6,0.1,0.0,0.0,0.2,
Jeremy Hill,15.20,0.0,0.0,0.0,20.0,86.2,0.6,3.2,2.5,19.8,0.1,0.0,0.0,0.1,
Matt Forte,15.51,0.0,0.0,0.0,19.0,87.6,0.7,2.7,2.1,15.1,0.1,0.0,0.0,0.1,
Melvin Gordon,14.67,0.0,0.0,0.0,20.8,72.0,0.5,4.3,3.6,32.1,0.2,0.0,0.0,0.1,
Spencer Ware,13.56,0.0,0.0,0.0,15.8,78.1,0.6,2.9,2.6,17.0,0.1,0.0,0.0,0.2,
LeSean McCoy,12.31,0.0,0.0,0.0,15.6,66.7,0.5,4.0,2.8,18.7,0.1,0.0,0.0,0.1,
Jay Ajayi,11.99,0.0,0.0,0.0,18.9,77.2,0.4,2.3,1.4,10.8,0.1,0.0,0.0,0.3,
Devonta Freeman,11.39,0.0,0.0,0.0,14.3,61.1,0.4,3.0,2.4,17.3,0.1,0.0,0.0,0.2,
Jordan Howard,11.22,0.0,0.0,0.0,16.0,66.1,0.4,2.9,2.3,15.6,0.1,0.0,0.0,0.1,
Latavius Murray,11.23,0.0,0.0,0.0,14.7,61.2,0.5,2.7,2.2,16.1,0.1,0.0,0.0,0.1,
Lamar Miller,10.89,0.0,0.0,0.0,15.9,63.3,0.5,1.9,1.7,11.7,0.1,0.0,0.0,0.1,
Frank Gore,10.86,0.0,0.0,0.0,15.2,62.2,0.4,3.1,2.0,15.2,0.1,0.0,0.0,0.1,
Doug Martin,9.97,0.0,0.0,0.0,15.6,62.5,0.3,1.6,1.3,11.6,0.1,0.0,0.0,0.2,
Rob Kelley,10.59,0.0,0.0,0.0,16.9,68.4,0.4,1.4,1.1,7.2,0.0,0.0,0.0,0.2,
Todd Gurley,10.51,0.0,0.0,0.0,16.3,58.9,0.4,2.2,1.8,13.5,0.1,0.0,0.0,0.1,
Mark Ingram,10.40,0.0,0.0,0.0,12.9,51.7,0.4,2.8,2.4,20.3,0.2,0.0,0.0,0.1,
Carlos Hyde,10.23,0.0,0.0,0.0,16.2,59.7,0.4,2.6,2.1,13.6,0.1,0.0,0.0,0.2,
Jonathan Stewart,10.20,0.0,0.0,0.0,16.6,64.5,0.5,1.1,1.0,6.7,0.0,0.0,0.0,0.1,
Devontae Booker,9.93,0.0,0.0,0.0,14.6,55.1,0.4,3.0,2.4,15.6,0.1,0.0,0.0,0.1,
Jerick McKinnon,9.91,0.0,0.0,0.0,14.9,56.6,0.3,2.6,2.2,15.7,0.1,0.0,0.0,0.1,
Isaiah Crowell,9.89,0.0,0.0,0.0,11.0,52.2,0.3,3.1,2.7,18.7,0.1,0.0,0.0,0.1,
Bilal Powell,9.57,0.0,0.0,0.0,9.2,45.8,0.4,3.1,2.4,18.9,0.2,0.0,0.0,0.1,
