aaron rodgers,37,22.05,0,9.94,
jordy nelson,34,15.05,2,10.28,
jared cook,12,7.29,3,9.38,
james starks,10,0,1,0,
randall cobb,19,11.41,2,8.31,
christine michael,13,6.14,1,4.83,
davante adams,23,12.73,2,7.81,
richard rodgers,10,2.61,3,2.30,
jeff janis,10,0.58,2,0.70,
ty montgomery,14,7.51,2,5.38,
brett hundley,24,0.05,0,0.22,
aaron ripkowski,10,0.83,1,1.06,
trevor davis,10,0.57,2,0.66,
joe kerridge,10,0.64,1,0.73,
geronimo allison,10,0.61,2,0.72,
eddie royal,10,0,2,0,
logan paulsen,10,0.29,3,0.70,
deonte thompson,10,0.67,2,0.77,
matt barkley,23,14.87,0,7.04,
marquess wilson,14,0,2,0,
kadeem carey,10,1.57,1,1.73,
jeremy langford,10,2.63,1,2.65,
cameron meredith,14,6.33,2,5.93,
jordan howard,27,14.66,1,10.08,
daniel braverman,10,-0.04,2,0.15,
ben braunecker,10,0.56,3,0.70,
green bay,14,8.910,4,4.98,
chicago,11,6.85,4,3.39,
brandon myers,10,0.66,3,0.74,
luke stocker,10,0.86,3,1.06,
jacquizz rodgers,11,1.15,1,1.43,
doug martin,18,9.76,1,8.18,
mike glennon,20,0.24,0,0.29,
russell shepard,10,4.29,2,4.02,
mike evans,38,16,2,10.73,
josh huff,10,0.37,2,0.47,
freddie martino,10,0.99,2,1.25,
cameron brate,20,8.66,3,6.72,
jameis winston,33,19.44,0,6.81,
adam humphries,12,6.69,2,5.16,
peyton barber,10,0.44,1,0.58,
alan cross,10,0.37,3,0.42,
charles sims,13,6.55,1,6.01,
jason witten,16,8.59,3,6.87,
tony romo,30,0.73,0,0.62,
mark sanchez,20,0,0,0,
dez bryant,28,12.37,2,10.47,
alfred morris,10,5.36,1,5.56,
cole beasley,17,9.92,2,8.19,
lance dunbar,10,1.4,1,1.63,
gavin escobar,10,0.83,3,0.75,
terrance williams,11,4.05,2,3.17,
brice butler,10,2.58,2,3.02,
keith smith,10,0.27,1,0.32,
vince mayle,10,0.87,2,0.83,
lucky whitehead,10,0.66,2,0.70,
ezekiel elliott,38,22.98,1,11.87,
dak prescott,33,18.66,0,8.00,
tampa bay,13,4.370,4,3.14,
dallas,14,8.25,4,5.22,
chad henne,20,1.02,0,0.69,
arrelious benn,10,0.47,2,0.71,
chris ivory,16,5.33,1,5.11,
bryan walters,10,0.67,2,0.67,
